componente,unidade,Valor por 100g,Colher sopa rasa (20 g),codigo_alimento,nome_alimento
Energia,kJ,1422,284,BRC0403A,Nome não encontrado
Energia,kcal,337,67,BRC0403A,Nome não encontrado
Umidade,g,"10,4","2,08",BRC0403A,Nome não encontrado
Carboidrato total,g,"75,4","15,1",BRC0403A,Nome não encontrado
Carboidrato disponível,g,"62,7","12,5",BRC0403A,Nome não encontrado
Proteína,g,"10,7","2,14",BRC0403A,Nome não encontrado
Lipídios,g,"1,99","0,40",BRC0403A,Nome não encontrado
Fibra alimentar,g,"12,7","2,54",BRC0403A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0403A,Nome não encontrado
Cinzas,g,"1,54","0,31",BRC0403A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0403A,Nome não encontrado
Ácidos graxos saturados,g,"0,37","0,07",BRC0403A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,23","0,05",BRC0403A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,84","0,17",BRC0403A,Nome não encontrado
Ácidos graxos trans,g,,,BRC0403A,Nome não encontrado
Cálcio,mg,"34,0","6,80",BRC0403A,Nome não encontrado
Ferro,mg,"5,37","1,07",BRC0403A,Nome não encontrado
Sódio,mg,"2,00","0,40",BRC0403A,Nome não encontrado
Magnésio,mg,"90,0","18,0",BRC0403A,Nome não encontrado
Fósforo,mg,402,"80,4",BRC0403A,Nome não encontrado
Potássio,mg,435,"87,0",BRC0403A,Nome não encontrado
Manganês,mg,"3,41","0,68",BRC0403A,Nome não encontrado
Zinco,mg,"3,46","0,69",BRC0403A,Nome não encontrado
Cobre,mg,"0,43","0,09",BRC0403A,Nome não encontrado
Selênio,mcg,,,BRC0403A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0403A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0403A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0403A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,01","0,20",BRC0403A,Nome não encontrado
Tiamina,mg,"0,41","0,08",BRC0403A,Nome não encontrado
Riboflavina,mg,"0,11","0,02",BRC0403A,Nome não encontrado
Niacina,mg,"4,77","0,95",BRC0403A,Nome não encontrado
Vitamina B6,mg,"0,38","0,08",BRC0403A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0403A,Nome não encontrado
Vitamina C,mg,"0,90","0,18",BRC0403A,Nome não encontrado
Equivalente de folato,mcg,"41,0","8,20",BRC0403A,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0403A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0403A,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0403A,Nome não encontrado
Proteína vegetal,g,"10,7","2,14",BRC0403A,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0403A,Nome não encontrado
