componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,558,334,250,557,BRC0411E,Nome não encontrado
Energia,kcal,133,79,59,133,BRC0411E,Nome não encontrado
Umidade,g,"73,3","44,0","33,0","73,3",BRC0411E,Nome não encontrado
Carboidrato total,g,"2,23","1,34","1,00","2,23",BRC0411E,Nome não encontrado
Carboidrato disponível,g,"2,17","1,30","0,98","2,17",BRC0411E,Nome não encontrado
Proteína,g,"17,1","10,3","7,71","17,1",BRC0411E,Nome não encontrado
Lipídios,g,"6,19","3,71","2,78","6,19",BRC0411E,Nome não encontrado
Fibra alimentar,g,"0,05","0,03","0,02","0,05",BRC0411E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0411E,Nome não encontrado
Cinzas,g,"1,18","0,71","0,53","1,18",BRC0411E,Nome não encontrado
Colesterol,mg,"66,2","39,7","29,8","66,2",BRC0411E,Nome não encontrado
Ácidos graxos saturados,g,"1,89","1,13","0,85","1,89",BRC0411E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,79","1,67","1,25","2,79",BRC0411E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,86","0,52","0,39","0,86",BRC0411E,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,01","0,02",BRC0411E,Nome não encontrado
Cálcio,mg,"45,5","27,3","20,5","45,5",BRC0411E,Nome não encontrado
Ferro,mg,"0,28","0,17","0,12","0,28",BRC0411E,Nome não encontrado
Sódio,mg,131,"79,2","59,4",131,BRC0411E,Nome não encontrado
Magnésio,mg,"25,4","15,3","11,4","25,4",BRC0411E,Nome não encontrado
Fósforo,mg,162,"97,8","73,3",162,BRC0411E,Nome não encontrado
Potássio,mg,285,171,128,285,BRC0411E,Nome não encontrado
Manganês,mg,"0,02","0,01","0,01","0,02",BRC0411E,Nome não encontrado
Zinco,mg,"0,38","0,23","0,17","0,38",BRC0411E,Nome não encontrado
Cobre,mg,"0,01","0,01","0,00","0,01",BRC0411E,Nome não encontrado
Selênio,mcg,"33,7","20,2","15,2","33,7",BRC0411E,Nome não encontrado
Vitamina A (RE),mcg,"61,2","36,7","27,5","61,2",BRC0411E,Nome não encontrado
Vitamina A (RAE),mcg,"61,0","36,6","27,4","61,0",BRC0411E,Nome não encontrado
Vitamina D,mcg,"3,71","2,23","1,67","3,71",BRC0411E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,16","0,70","0,52","1,16",BRC0411E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01","0,02",BRC0411E,Nome não encontrado
Riboflavina,mg,"0,11","0,07","0,05","0,11",BRC0411E,Nome não encontrado
Niacina,mg,"3,29","1,97","1,48","3,29",BRC0411E,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0411E,Nome não encontrado
Vitamina B12,mcg,"2,18","1,31","0,98","2,18",BRC0411E,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0411E,Nome não encontrado
Equivalente de folato,mcg,"16,2","9,73","7,29","16,2",BRC0411E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0411E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0411E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0411E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0411E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0411E,Nome não encontrado
