componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,367,734,BRC0077H,Nome não encontrado
Energia,kcal,88,175,BRC0077H,Nome não encontrado
Umidade,g,"80,1",160,BRC0077H,Nome não encontrado
Carboidrato total,g,"13,1","26,1",BRC0077H,Nome não encontrado
Carboidrato disponível,g,"11,2","22,3",BRC0077H,Nome não encontrado
Proteína,g,"3,05","6,10",BRC0077H,Nome não encontrado
Lipídios,g,"2,99","5,97",BRC0077H,Nome não encontrado
Fibra alimentar,g,"1,90","3,80",BRC0077H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0077H,Nome não encontrado
Cinzas,g,"0,78","1,56",BRC0077H,Nome não encontrado
Colesterol,mg,"8,72","17,4",BRC0077H,Nome não encontrado
Ácidos graxos saturados,g,"1,82","3,64",BRC0077H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,88","1,76",BRC0077H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,13","0,26",BRC0077H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0077H,Nome não encontrado
Cálcio,mg,"84,9",169,BRC0077H,Nome não encontrado
Ferro,mg,"0,85","1,70",BRC0077H,Nome não encontrado
Sódio,mg,"47,0","94,0",BRC0077H,Nome não encontrado
Magnésio,mg,"32,9","65,7",BRC0077H,Nome não encontrado
Fósforo,mg,"93,7",187,BRC0077H,Nome não encontrado
Potássio,mg,184,368,BRC0077H,Nome não encontrado
Manganês,mg,"0,31","0,62",BRC0077H,Nome não encontrado
Zinco,mg,"0,60","1,21",BRC0077H,Nome não encontrado
Cobre,mg,"0,20","0,40",BRC0077H,Nome não encontrado
Selênio,mcg,"4,06","8,12",BRC0077H,Nome não encontrado
Vitamina A (RE),mcg,"35,0","69,9",BRC0077H,Nome não encontrado
Vitamina A (RAE),mcg,"34,4","68,8",BRC0077H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0077H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,12",BRC0077H,Nome não encontrado
Tiamina,mg,"0,03","0,06",BRC0077H,Nome não encontrado
Riboflavina,mg,"0,18","0,37",BRC0077H,Nome não encontrado
Niacina,mg,"1,21","2,43",BRC0077H,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0077H,Nome não encontrado
Vitamina B12,mcg,"0,26","0,53",BRC0077H,Nome não encontrado
Vitamina C,mg,traços,,BRC0077H,Nome não encontrado
Equivalente de folato,mcg,"5,16","10,3",BRC0077H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0077H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0077H,Nome não encontrado
Gordura de adição,g,-,-,BRC0077H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0077H,Nome não encontrado
Proteína animal,g,-,-,BRC0077H,Nome não encontrado
