componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,757,416,302,BRC0724A,Nome não encontrado
Energia,kcal,181,99,72,BRC0724A,Nome não encontrado
Umidade,g,"65,0","35,7","26,0",BRC0724A,Nome não encontrado
Carboidrato total,g,"11,9","6,54","4,75",BRC0724A,Nome não encontrado
Carboidrato disponível,g,"9,37","5,15","3,75",BRC0724A,Nome não encontrado
Proteína,g,"11,9","6,52","4,74",BRC0724A,Nome não encontrado
Lipídios,g,"10,2","5,59","4,07",BRC0724A,Nome não encontrado
Fibra alimentar,g,"2,52","1,38","1,01",BRC0724A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0724A,Nome não encontrado
Cinzas,g,"1,14","0,63","0,46",BRC0724A,Nome não encontrado
Colesterol,mg,"39,6","21,8","15,8",BRC0724A,Nome não encontrado
Ácidos graxos saturados,g,"1,21","0,66","0,48",BRC0724A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,47","0,81","0,59",BRC0724A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,57","0,86","0,63",BRC0724A,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,03","0,02",BRC0724A,Nome não encontrado
Cálcio,mg,"11,0","6,06","4,41",BRC0724A,Nome não encontrado
Ferro,mg,"0,36","0,20","0,14",BRC0724A,Nome não encontrado
Sódio,mg,208,114,"83,5",BRC0724A,Nome não encontrado
Magnésio,mg,"19,8","10,9","7,92",BRC0724A,Nome não encontrado
Fósforo,mg,102,"56,3","41,0",BRC0724A,Nome não encontrado
Potássio,mg,139,"76,8","55,9",BRC0724A,Nome não encontrado
Manganês,mg,"0,21","0,12","0,09",BRC0724A,Nome não encontrado
Zinco,mg,"0,72","0,39","0,29",BRC0724A,Nome não encontrado
Cobre,mg,"0,09","0,05","0,03",BRC0724A,Nome não encontrado
Selênio,mcg,"0,35","0,19","0,14",BRC0724A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0724A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0724A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0724A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,37","0,20","0,15",BRC0724A,Nome não encontrado
Tiamina,mg,"0,09","0,05","0,04",BRC0724A,Nome não encontrado
Riboflavina,mg,"0,06","0,03","0,02",BRC0724A,Nome não encontrado
Niacina,mg,"5,46","3,00","2,18",BRC0724A,Nome não encontrado
Vitamina B6,mg,"0,05","0,03","0,02",BRC0724A,Nome não encontrado
Vitamina B12,mcg,"0,08","0,04","0,03",BRC0724A,Nome não encontrado
Vitamina C,mg,"2,80","1,54","1,12",BRC0724A,Nome não encontrado
Equivalente de folato,mcg,"5,25","2,89","2,10",BRC0724A,Nome não encontrado
Sal de adição,g,"0,47","0,26","0,19",BRC0724A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0724A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0724A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0724A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0724A,Nome não encontrado
