componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (30 g),codigo_alimento,nome_alimento
Energia,kJ,2624,787,BRC0034U,Nome não encontrado
Energia,kcal,635,190,BRC0034U,Nome não encontrado
Umidade,g,"4,02","1,21",BRC0034U,Nome não encontrado
Carboidrato total,g,"18,8","5,64",BRC0034U,Nome não encontrado
Carboidrato disponível,g,"11,0","3,30",BRC0034U,Nome não encontrado
Proteína,g,"19,5","5,84",BRC0034U,Nome não encontrado
Lipídios,g,"55,2","16,6",BRC0034U,Nome não encontrado
Fibra alimentar,g,"7,86","2,36",BRC0034U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0034U,Nome não encontrado
Cinzas,g,"2,45","0,74",BRC0034U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0034U,Nome não encontrado
Ácidos graxos saturados,g,"8,83","2,65",BRC0034U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"25,8","7,74",BRC0034U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"21,2","6,35",BRC0034U,Nome não encontrado
Ácidos graxos trans,g,,,BRC0034U,Nome não encontrado
Cálcio,mg,114,"34,3",BRC0034U,Nome não encontrado
Ferro,mg,"3,03","0,91",BRC0034U,Nome não encontrado
Sódio,mg,156,"47,0",BRC0034U,Nome não encontrado
Magnésio,mg,222,"66,9",BRC0034U,Nome não encontrado
Fósforo,mg,474,142,BRC0034U,Nome não encontrado
Potássio,mg,598,179,BRC0034U,Nome não encontrado
Manganês,mg,"2,05","0,62",BRC0034U,Nome não encontrado
Zinco,mg,"3,22","0,97",BRC0034U,Nome não encontrado
Cobre,mg,"1,14","0,34",BRC0034U,Nome não encontrado
Selênio,mcg,850,255,BRC0034U,Nome não encontrado
Vitamina A (RE),mcg,"2,62","0,79",BRC0034U,Nome não encontrado
Vitamina A (RAE),mcg,"1,31","0,39",BRC0034U,Nome não encontrado
Vitamina D,mcg,,,BRC0034U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"7,26","2,18",BRC0034U,Nome não encontrado
Tiamina,mg,"0,25","0,08",BRC0034U,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0034U,Nome não encontrado
Niacina,mg,"1,71","0,51",BRC0034U,Nome não encontrado
Vitamina B6,mg,"0,29","0,09",BRC0034U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0034U,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0034U,Nome não encontrado
Equivalente de folato,mcg,"56,0","16,8",BRC0034U,Nome não encontrado
Sal de adição,g,,,BRC0034U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0034U,Nome não encontrado
Gordura de adição,g,-,-,BRC0034U,Nome não encontrado
Proteína vegetal,g,-,-,BRC0034U,Nome não encontrado
Proteína animal,g,-,-,BRC0034U,Nome não encontrado
