componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,1285,51,12,BRC0798B,Nome não encontrado
Energia,kcal,306,12,3,BRC0798B,Nome não encontrado
Umidade,g,"11,4","0,46","0,11",BRC0798B,Nome não encontrado
Carboidrato total,g,"74,5","2,98","0,74",BRC0798B,Nome não encontrado
Carboidrato disponível,g,"48,3","1,93","0,48",BRC0798B,Nome não encontrado
Proteína,g,"10,4","0,42","0,10",BRC0798B,Nome não encontrado
Lipídios,g,"2,12","0,08","0,02",BRC0798B,Nome não encontrado
Fibra alimentar,g,"26,2","1,05","0,26",BRC0798B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0798B,Nome não encontrado
Cinzas,g,"1,59","0,06","0,02",BRC0798B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0798B,Nome não encontrado
Ácidos graxos saturados,g,"0,63","0,03","0,01",BRC0798B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,79","0,03","0,01",BRC0798B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,62","0,02","0,01",BRC0798B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0798B,Nome não encontrado
Cálcio,mg,265,"10,6","2,65",BRC0798B,Nome não encontrado
Ferro,mg,"14,3","0,57","0,14",BRC0798B,Nome não encontrado
Sódio,mg,"5,00","0,20","0,05",BRC0798B,Nome não encontrado
Magnésio,mg,"90,0","3,60","0,90",BRC0798B,Nome não encontrado
Fósforo,mg,176,"7,04","1,76",BRC0798B,Nome não encontrado
Potássio,mg,"73,0","2,92","0,73",BRC0798B,Nome não encontrado
Manganês,mg,"4,30","0,17","0,04",BRC0798B,Nome não encontrado
Zinco,mg,"1,13","0,05","0,01",BRC0798B,Nome não encontrado
Cobre,mg,"0,91","0,04","0,01",BRC0798B,Nome não encontrado
Selênio,mcg,"3,10","0,12","0,03",BRC0798B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0798B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0798B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0798B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0798B,Nome não encontrado
Tiamina,mg,"0,02","0,00","0,00",BRC0798B,Nome não encontrado
Riboflavina,mg,"0,13","0,01","0,00",BRC0798B,Nome não encontrado
Niacina,mg,"0,21","0,01","0,00",BRC0798B,Nome não encontrado
Vitamina B6,mg,"0,10","0,00","0,00",BRC0798B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0798B,Nome não encontrado
Vitamina C,mg,"21,0","0,84","0,21",BRC0798B,Nome não encontrado
Equivalente de folato,mcg,"10,00","0,40","0,10",BRC0798B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0798B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0798B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0798B,Nome não encontrado
Proteína vegetal,g,"10,4","0,42","0,10",BRC0798B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0798B,Nome não encontrado
