componente,unidade,Valor por 100g,Colher servir cheia (38 g),Colher sopa cheia (20 g),Colher sopa rasa (14 g),Escumadeira rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,278,105,55,38,125,BRC0327B,Nome não encontrado
Energia,kcal,66,25,13,9,29,BRC0327B,Nome não encontrado
Umidade,g,"81,8","31,1","16,4","11,4","36,8",BRC0327B,Nome não encontrado
Carboidrato total,g,"13,3","5,04","2,65","1,86","5,97",BRC0327B,Nome não encontrado
Carboidrato disponível,g,"9,33","3,54","1,87","1,31","4,20",BRC0327B,Nome não encontrado
Proteína,g,"2,34","0,89","0,47","0,33","1,05",BRC0327B,Nome não encontrado
Lipídios,g,"1,31","0,50","0,26","0,18","0,59",BRC0327B,Nome não encontrado
Fibra alimentar,g,"3,94","1,50","0,79","0,55","1,77",BRC0327B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0327B,Nome não encontrado
Cinzas,g,"1,34","0,51","0,27","0,19","0,60",BRC0327B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0327B,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,08","0,04","0,03","0,09",BRC0327B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,30","0,11","0,06","0,04","0,13",BRC0327B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,76","0,29","0,15","0,11","0,34",BRC0327B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00","0,00","0,00",BRC0327B,Nome não encontrado
Cálcio,mg,"17,1","6,51","3,43","2,40","7,71",BRC0327B,Nome não encontrado
Ferro,mg,"0,38","0,15","0,08","0,05","0,17",BRC0327B,Nome não encontrado
Sódio,mg,138,"52,8","27,8","19,4","62,5",BRC0327B,Nome não encontrado
Magnésio,mg,"25,3","9,61","5,06","3,54","11,4",BRC0327B,Nome não encontrado
Fósforo,mg,"25,5","9,70","5,10","3,57","11,5",BRC0327B,Nome não encontrado
Potássio,mg,437,166,"87,5","61,3",196,BRC0327B,Nome não encontrado
Manganês,mg,"1,40","0,53","0,28","0,20","0,63",BRC0327B,Nome não encontrado
Zinco,mg,"0,60","0,23","0,12","0,08","0,27",BRC0327B,Nome não encontrado
Cobre,mg,"0,09","0,04","0,02","0,01","0,04",BRC0327B,Nome não encontrado
Selênio,mcg,"0,26","0,10","0,05","0,04","0,11",BRC0327B,Nome não encontrado
Vitamina A (RE),mcg,"1,79","0,68","0,36","0,25","0,80",BRC0327B,Nome não encontrado
Vitamina A (RAE),mcg,"0,89","0,34","0,18","0,13","0,40",BRC0327B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0327B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,18","0,07","0,04","0,03","0,08",BRC0327B,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,01","0,01","0,02",BRC0327B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0327B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0327B,Nome não encontrado
Vitamina B6,mg,"0,06","0,02","0,01","0,01","0,02",BRC0327B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0327B,Nome não encontrado
Vitamina C,mg,"3,43","1,30","0,69","0,48","1,54",BRC0327B,Nome não encontrado
Equivalente de folato,mcg,"97,6","37,1","19,5","13,7","43,9",BRC0327B,Nome não encontrado
Sal de adição,g,"0,32","0,12","0,06","0,04","0,14",BRC0327B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0327B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0327B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0327B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0327B,Nome não encontrado
