componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,420,1007,692,839,BRC0141T,Nome não encontrado
Energia,kcal,99,238,163,198,BRC0141T,Nome não encontrado
Umidade,g,"76,5",183,126,153,BRC0141T,Nome não encontrado
Carboidrato total,g,"18,0","43,1","29,6","35,9",BRC0141T,Nome não encontrado
Carboidrato disponível,g,"17,8","42,7","29,4","35,6",BRC0141T,Nome não encontrado
Proteína,g,"3,13","7,52","5,17","6,26",BRC0141T,Nome não encontrado
Lipídios,g,"1,70","4,08","2,81","3,40",BRC0141T,Nome não encontrado
Fibra alimentar,g,"0,15","0,37","0,25","0,31",BRC0141T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0141T,Nome não encontrado
Cinzas,g,"0,68","1,63","1,12","1,36",BRC0141T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0141T,Nome não encontrado
Ácidos graxos saturados,g,"0,37","0,90","0,62","0,75",BRC0141T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,37","0,89","0,61","0,74",BRC0141T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,52","1,24","0,85","1,03",BRC0141T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,02","0,01","0,02",BRC0141T,Nome não encontrado
Cálcio,mg,"29,7","71,3","49,0","59,4",BRC0141T,Nome não encontrado
Ferro,mg,"1,91","4,59","3,15","3,82",BRC0141T,Nome não encontrado
Sódio,mg,"50,4",120,"83,1",100,BRC0141T,Nome não encontrado
Magnésio,mg,"65,6",157,108,131,BRC0141T,Nome não encontrado
Fósforo,mg,120,288,198,240,BRC0141T,Nome não encontrado
Potássio,mg,267,643,442,535,BRC0141T,Nome não encontrado
Manganês,mg,"0,24","0,59","0,40","0,49",BRC0141T,Nome não encontrado
Zinco,mg,"0,94","2,25","1,55","1,88",BRC0141T,Nome não encontrado
Cobre,mg,"0,07","0,18","0,12","0,15",BRC0141T,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00",BRC0141T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0141T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0141T,Nome não encontrado
Vitamina D,mcg,"0,82","1,96","1,35","1,64",BRC0141T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,01","0,00","0,01",BRC0141T,Nome não encontrado
Tiamina,mg,"0,01","0,02","0,01","0,02",BRC0141T,Nome não encontrado
Riboflavina,mg,"0,03","0,06","0,04","0,05",BRC0141T,Nome não encontrado
Niacina,mg,"0,22","0,54","0,37","0,45",BRC0141T,Nome não encontrado
Vitamina B6,mg,"0,01","0,03","0,02","0,02",BRC0141T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0141T,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0141T,Nome não encontrado
Equivalente de folato,mcg,"73,4",176,121,146,BRC0141T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0141T,Nome não encontrado
Açúcar de adição,g,"6,00","14,4","9,90","12,0",BRC0141T,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0141T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0141T,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0141T,Nome não encontrado
