componente,unidade,Valor por 100g,Colher servir cheia (80 g),Colher servir rasa (55 g),codigo_alimento,nome_alimento
Energia,kJ,117,93,64,BRC0281B,Nome não encontrado
Energia,kcal,28,22,15,BRC0281B,Nome não encontrado
Umidade,g,"89,5","71,6","49,2",BRC0281B,Nome não encontrado
Carboidrato total,g,"7,74","6,19","4,26",BRC0281B,Nome não encontrado
Carboidrato disponível,g,"1,71","1,36","0,94",BRC0281B,Nome não encontrado
Proteína,g,"1,75","1,40","0,96",BRC0281B,Nome não encontrado
Lipídios,g,"0,28","0,22","0,15",BRC0281B,Nome não encontrado
Fibra alimentar,g,"6,03","4,83","3,32",BRC0281B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0281B,Nome não encontrado
Cinzas,g,"0,70","0,56","0,38",BRC0281B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0281B,Nome não encontrado
Ácidos graxos saturados,g,"0,05","0,04","0,03",BRC0281B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,03","0,02",BRC0281B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,14","0,11","0,07",BRC0281B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0281B,Nome não encontrado
Cálcio,mg,"25,0","20,0","13,7",BRC0281B,Nome não encontrado
Ferro,mg,"0,42","0,34","0,23",BRC0281B,Nome não encontrado
Sódio,mg,traços,traços,traços,BRC0281B,Nome não encontrado
Magnésio,mg,"25,8","20,6","14,2",BRC0281B,Nome não encontrado
Fósforo,mg,"36,3","29,0","20,0",BRC0281B,Nome não encontrado
Potássio,mg,266,212,146,BRC0281B,Nome não encontrado
Manganês,mg,"0,18","0,14","0,10",BRC0281B,Nome não encontrado
Zinco,mg,"0,18","0,14","0,10",BRC0281B,Nome não encontrado
Cobre,mg,"0,13","0,10","0,07",BRC0281B,Nome não encontrado
Selênio,mcg,"0,21","0,17","0,12",BRC0281B,Nome não encontrado
Vitamina A (RE),mcg,"15,4","12,3","8,46",BRC0281B,Nome não encontrado
Vitamina A (RAE),mcg,"7,69","6,15","4,23",BRC0281B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0281B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,46","0,37","0,25",BRC0281B,Nome não encontrado
Tiamina,mg,"0,08","0,06","0,04",BRC0281B,Nome não encontrado
Riboflavina,mg,"0,05","0,04","0,03",BRC0281B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0281B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0281B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0281B,Nome não encontrado
Vitamina C,mg,"6,79","5,43","3,74",BRC0281B,Nome não encontrado
Equivalente de folato,mcg,"20,9","16,7","11,5",BRC0281B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0281B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0281B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0281B,Nome não encontrado
Proteína vegetal,g,"1,75","1,40","0,96",BRC0281B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0281B,Nome não encontrado
