componente,unidade,Valor por 100g,Colher sopa cheia (30 g),codigo_alimento,nome_alimento
Energia,kJ,996,298,BRC0242T,Nome não encontrado
Energia,kcal,240,71,BRC0242T,Nome não encontrado
Umidade,g,"57,4","17,2",BRC0242T,Nome não encontrado
Carboidrato total,g,"18,0","5,41",BRC0242T,Nome não encontrado
Carboidrato disponível,g,"14,0","4,19",BRC0242T,Nome não encontrado
Proteína,g,"6,81","2,04",BRC0242T,Nome não encontrado
Lipídios,g,"16,5","4,94",BRC0242T,Nome não encontrado
Fibra alimentar,g,"4,05","1,21",BRC0242T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0242T,Nome não encontrado
Cinzas,g,"1,25","0,38",BRC0242T,Nome não encontrado
Colesterol,mg,"0,01","0,00",BRC0242T,Nome não encontrado
Ácidos graxos saturados,g,"8,25","2,47",BRC0242T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,49","1,35",BRC0242T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,52","0,46",BRC0242T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0242T,Nome não encontrado
Cálcio,mg,"72,8","21,8",BRC0242T,Nome não encontrado
Ferro,mg,"3,06","0,92",BRC0242T,Nome não encontrado
Sódio,mg,"9,89","2,97",BRC0242T,Nome não encontrado
Magnésio,mg,"70,3","21,1",BRC0242T,Nome não encontrado
Fósforo,mg,186,"55,8",BRC0242T,Nome não encontrado
Potássio,mg,265,"79,5",BRC0242T,Nome não encontrado
Manganês,mg,"0,26","0,08",BRC0242T,Nome não encontrado
Zinco,mg,"1,10","0,33",BRC0242T,Nome não encontrado
Cobre,mg,"0,13","0,04",BRC0242T,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0242T,Nome não encontrado
Vitamina A (RE),mcg,"0,65","0,20",BRC0242T,Nome não encontrado
Vitamina A (RAE),mcg,"0,65","0,20",BRC0242T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0242T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,19","0,06",BRC0242T,Nome não encontrado
Tiamina,mg,"0,04","0,01",BRC0242T,Nome não encontrado
Riboflavina,mg,"0,03","0,01",BRC0242T,Nome não encontrado
Niacina,mg,"0,34","0,10",BRC0242T,Nome não encontrado
Vitamina B6,mg,"0,04","0,01",BRC0242T,Nome não encontrado
Vitamina B12,mcg,"0,09","0,03",BRC0242T,Nome não encontrado
Vitamina C,mg,"0,01","0,00",BRC0242T,Nome não encontrado
Equivalente de folato,mcg,"8,46","2,54",BRC0242T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0242T,Nome não encontrado
Açúcar de adição,g,,,BRC0242T,Nome não encontrado
Gordura de adição,g,-,-,BRC0242T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0242T,Nome não encontrado
Proteína animal,g,-,-,BRC0242T,Nome não encontrado
