componente,unidade,Valor por 100g,Colher sopa cheia (35 g),Colher sopa rasa (20 g),Escumadeira cheia (100 g),Escumadeira rasa (75 g),codigo_alimento,nome_alimento
Energia,kJ,328,114,65,327,245,BRC0959B,Nome não encontrado
Energia,kcal,78,27,15,77,58,BRC0959B,Nome não encontrado
Umidade,g,"82,9","29,0","16,6","82,9","62,1",BRC0959B,Nome não encontrado
Carboidrato total,g,"6,58","2,30","1,32","6,58","4,93",BRC0959B,Nome não encontrado
Carboidrato disponível,g,"4,96","1,74","0,99","4,96","3,72",BRC0959B,Nome não encontrado
Proteína,g,"8,53","2,99","1,71","8,53","6,40",BRC0959B,Nome não encontrado
Lipídios,g,"2,66","0,93","0,53","2,66","2,00",BRC0959B,Nome não encontrado
Fibra alimentar,g,"1,66","0,58","0,33","1,66","1,25",BRC0959B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0959B,Nome não encontrado
Cinzas,g,"1,34","0,47","0,27","1,34","1,00",BRC0959B,Nome não encontrado
Colesterol,mg,"9,67","3,38","1,93","9,67","7,25",BRC0959B,Nome não encontrado
Ácidos graxos saturados,g,"1,04","0,36","0,21","1,04","0,78",BRC0959B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,10","0,39","0,22","1,10","0,83",BRC0959B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,24","0,08","0,05","0,24","0,18",BRC0959B,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,02","0,01","0,06","0,04",BRC0959B,Nome não encontrado
Cálcio,mg,"7,74","2,71","1,55","7,74","5,80",BRC0959B,Nome não encontrado
Ferro,mg,"0,78","0,27","0,16","0,78","0,58",BRC0959B,Nome não encontrado
Sódio,mg,373,130,"74,7",373,280,BRC0959B,Nome não encontrado
Magnésio,mg,"10,4","3,63","2,07","10,4","7,77",BRC0959B,Nome não encontrado
Fósforo,mg,"42,4","14,8","8,48","42,4","31,8",BRC0959B,Nome não encontrado
Potássio,mg,152,"53,3","30,5",152,114,BRC0959B,Nome não encontrado
Manganês,mg,"0,05","0,02","0,01","0,05","0,04",BRC0959B,Nome não encontrado
Zinco,mg,"1,63","0,57","0,33","1,63","1,22",BRC0959B,Nome não encontrado
Cobre,mg,"0,60","0,21","0,12","0,60","0,45",BRC0959B,Nome não encontrado
Selênio,mcg,,,,,,BRC0959B,Nome não encontrado
Vitamina A (RE),mcg,104,"36,6","20,9",104,"78,4",BRC0959B,Nome não encontrado
Vitamina A (RAE),mcg,"52,3","18,3","10,5","52,3","39,2",BRC0959B,Nome não encontrado
Vitamina D,mcg,,,,,,BRC0959B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,,,BRC0959B,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,BRC0959B,Nome não encontrado
Riboflavina,mg,"0,03","0,01","0,01","0,03","0,02",BRC0959B,Nome não encontrado
Niacina,mg,,,,,,BRC0959B,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,01","0,04","0,03",BRC0959B,Nome não encontrado
Vitamina B12,mcg,,,,,,BRC0959B,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,BRC0959B,Nome não encontrado
Equivalente de folato,mcg,,,,,,BRC0959B,Nome não encontrado
Sal de adição,g,"0,32","0,11","0,06","0,32","0,24",BRC0959B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0959B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0959B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0959B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0959B,Nome não encontrado
