componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,505,302,227,504,BRC0238E,Nome não encontrado
Energia,kcal,121,72,54,120,BRC0238E,Nome não encontrado
Umidade,g,"76,4","45,9","34,4","76,4",BRC0238E,Nome não encontrado
Carboidrato total,g,"1,89","1,13","0,85","1,89",BRC0238E,Nome não encontrado
Carboidrato disponível,g,"0,92","0,55","0,41","0,92",BRC0238E,Nome não encontrado
Proteína,g,"12,7","7,63","5,73","12,7",BRC0238E,Nome não encontrado
Lipídios,g,"7,02","4,21","3,16","7,02",BRC0238E,Nome não encontrado
Fibra alimentar,g,"0,97","0,58","0,44","0,97",BRC0238E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0238E,Nome não encontrado
Cinzas,g,"1,93","1,16","0,87","1,93",BRC0238E,Nome não encontrado
Colesterol,mg,"37,7","22,6","17,0","37,7",BRC0238E,Nome não encontrado
Ácidos graxos saturados,g,"1,15","0,69","0,52","1,15",BRC0238E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,60","1,56","1,17","2,60",BRC0238E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,81","1,69","1,27","2,81",BRC0238E,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02","0,01","0,03",BRC0238E,Nome não encontrado
Cálcio,mg,"20,2","12,1","9,10","20,2",BRC0238E,Nome não encontrado
Ferro,mg,"0,27","0,16","0,12","0,27",BRC0238E,Nome não encontrado
Sódio,mg,461,276,207,461,BRC0238E,Nome não encontrado
Magnésio,mg,"19,8","11,9","8,93","19,8",BRC0238E,Nome não encontrado
Fósforo,mg,113,"68,0","51,0",113,BRC0238E,Nome não encontrado
Potássio,mg,292,175,131,292,BRC0238E,Nome não encontrado
Manganês,mg,"0,05","0,03","0,02","0,05",BRC0238E,Nome não encontrado
Zinco,mg,"0,28","0,17","0,13","0,28",BRC0238E,Nome não encontrado
Cobre,mg,"0,04","0,02","0,02","0,04",BRC0238E,Nome não encontrado
Selênio,mcg,"24,8","14,9","11,1","24,8",BRC0238E,Nome não encontrado
Vitamina A (RE),mcg,"93,5","56,1","42,1","93,5",BRC0238E,Nome não encontrado
Vitamina A (RAE),mcg,"47,7","28,6","21,5","47,7",BRC0238E,Nome não encontrado
Vitamina D,mcg,"3,28","1,97","1,48","3,28",BRC0238E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,42","0,85","0,64","1,42",BRC0238E,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,01","0,03",BRC0238E,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,02","0,04",BRC0238E,Nome não encontrado
Niacina,mg,"0,55","0,33","0,25","0,55",BRC0238E,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01","0,02",BRC0238E,Nome não encontrado
Vitamina B12,mcg,"1,59","0,95","0,72","1,59",BRC0238E,Nome não encontrado
Vitamina C,mg,"10,3","6,19","4,64","10,3",BRC0238E,Nome não encontrado
Equivalente de folato,mcg,"19,8","11,9","8,90","19,8",BRC0238E,Nome não encontrado
Sal de adição,g,"0,45","0,27","0,20","0,45",BRC0238E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0238E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0238E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0238E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0238E,Nome não encontrado
