componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (185 g),codigo_alimento,nome_alimento
Energia,kJ,489,905,BRC0053N,Nome não encontrado
Energia,kcal,115,213,BRC0053N,Nome não encontrado
Umidade,g,"70,8",130,BRC0053N,Nome não encontrado
Carboidrato total,g,"1,68","3,11",BRC0053N,Nome não encontrado
Carboidrato disponível,g,"1,68","3,11",BRC0053N,Nome não encontrado
Proteína,g,"25,8","47,7",BRC0053N,Nome não encontrado
Lipídios,g,"0,60","1,11",BRC0053N,Nome não encontrado
Fibra alimentar,g,,,BRC0053N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0053N,Nome não encontrado
Cinzas,g,"1,15","2,13",BRC0053N,Nome não encontrado
Colesterol,mg,"52,9","97,9",BRC0053N,Nome não encontrado
Ácidos graxos saturados,g,"1,00","1,85",BRC0053N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,30","2,41",BRC0053N,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,BRC0053N,Nome não encontrado
Ácidos graxos trans,g,traços,traços,BRC0053N,Nome não encontrado
Cálcio,mg,"6,52","12,1",BRC0053N,Nome não encontrado
Ferro,mg,"1,23","2,28",BRC0053N,Nome não encontrado
Sódio,mg,362,669,BRC0053N,Nome não encontrado
Magnésio,mg,"29,5","54,5",BRC0053N,Nome não encontrado
Fósforo,mg,211,390,BRC0053N,Nome não encontrado
Potássio,mg,279,517,BRC0053N,Nome não encontrado
Manganês,mg,traços,traços,BRC0053N,Nome não encontrado
Zinco,mg,"0,59","1,09",BRC0053N,Nome não encontrado
Cobre,mg,"0,04","0,07",BRC0053N,Nome não encontrado
Selênio,mcg,,,BRC0053N,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0053N,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0053N,Nome não encontrado
Vitamina D,mcg,"0,49","0,91",BRC0053N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,12",BRC0053N,Nome não encontrado
Tiamina,mg,traços,traços,BRC0053N,Nome não encontrado
Riboflavina,mg,"0,03","0,06",BRC0053N,Nome não encontrado
Niacina,mg,"3,17","5,86",BRC0053N,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0053N,Nome não encontrado
Vitamina B12,mcg,"1,60","2,96",BRC0053N,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0053N,Nome não encontrado
Equivalente de folato,mcg,"3,64","6,73",BRC0053N,Nome não encontrado
Sal de adição,g,,,BRC0053N,Nome não encontrado
Açúcar de adição,g,,,BRC0053N,Nome não encontrado
Gordura de adição,g,,,BRC0053N,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0053N,Nome não encontrado
Proteína animal,g,"25,8","47,7",BRC0053N,Nome não encontrado
