componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),Prato fundo (200 g),codigo_alimento,nome_alimento
Energia,kJ,579,289,636,520,1157,BRC0421A,Nome não encontrado
Energia,kcal,137,68,150,123,274,BRC0421A,Nome não encontrado
Umidade,g,"68,5","34,2","75,3","61,6",136,BRC0421A,Nome não encontrado
Carboidrato total,g,"13,8","6,89","15,2","12,4","27,6",BRC0421A,Nome não encontrado
Carboidrato disponível,g,"13,3","6,66","14,6","12,0","26,6",BRC0421A,Nome não encontrado
Proteína,g,"13,0","6,49","14,3","11,7","25,9",BRC0421A,Nome não encontrado
Lipídios,g,"3,46","1,73","3,80","3,11","6,91",BRC0421A,Nome não encontrado
Fibra alimentar,g,"0,47","0,24","0,52","0,42","0,94",BRC0421A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0421A,Nome não encontrado
Cinzas,g,"1,31","0,66","1,45","1,18","2,63",BRC0421A,Nome não encontrado
Colesterol,mg,"46,4","23,2","51,0","41,7","92,7",BRC0421A,Nome não encontrado
Ácidos graxos saturados,g,"1,23","0,61","1,35","1,10","2,45",BRC0421A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,03","0,51","1,13","0,92","2,05",BRC0421A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,75","0,38","0,83","0,68","1,50",BRC0421A,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,02","0,04","0,04","0,08",BRC0421A,Nome não encontrado
Cálcio,mg,"67,7","33,8","74,4","60,9",135,BRC0421A,Nome não encontrado
Ferro,mg,"0,76","0,38","0,83","0,68","1,52",BRC0421A,Nome não encontrado
Sódio,mg,213,106,235,192,427,BRC0421A,Nome não encontrado
Magnésio,mg,"14,9","7,45","16,4","13,4","29,8",BRC0421A,Nome não encontrado
Fósforo,mg,139,"70,0",153,125,279,BRC0421A,Nome não encontrado
Potássio,mg,179,"89,5",196,161,358,BRC0421A,Nome não encontrado
Manganês,mg,"0,05","0,03","0,06","0,05","0,10",BRC0421A,Nome não encontrado
Zinco,mg,"0,58","0,29","0,64","0,52","1,16",BRC0421A,Nome não encontrado
Cobre,mg,"0,05","0,03","0,06","0,05","0,11",BRC0421A,Nome não encontrado
Selênio,mcg,"18,5","9,26","20,4","16,7","37,0",BRC0421A,Nome não encontrado
Vitamina A (RE),mcg,"1,04","0,52","1,15","0,94","2,09",BRC0421A,Nome não encontrado
Vitamina A (RAE),mcg,"0,90","0,45","0,99","0,81","1,80",BRC0421A,Nome não encontrado
Vitamina D,mcg,"0,79","0,40","0,87","0,71","1,59",BRC0421A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,44","0,22","0,49","0,40","0,89",BRC0421A,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,02","0,02","0,04",BRC0421A,Nome não encontrado
Riboflavina,mg,"0,03","0,01","0,03","0,02","0,05",BRC0421A,Nome não encontrado
Niacina,mg,"2,35","1,18","2,59","2,12","4,70",BRC0421A,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,03","0,02","0,05",BRC0421A,Nome não encontrado
Vitamina B12,mcg,"1,91","0,96","2,10","1,72","3,82",BRC0421A,Nome não encontrado
Vitamina C,mg,"0,51","0,26","0,56","0,46","1,03",BRC0421A,Nome não encontrado
Equivalente de folato,mcg,"40,4","20,2","44,5","36,4","80,9",BRC0421A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42","0,94",BRC0421A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0421A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0421A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0421A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0421A,Nome não encontrado
