componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,138,275,BRC0109H,Nome não encontrado
Energia,kcal,33,65,BRC0109H,Nome não encontrado
Umidade,g,"91,3",182,BRC0109H,Nome não encontrado
Carboidrato total,g,"5,46","10,9",BRC0109H,Nome não encontrado
Carboidrato disponível,g,"4,93","9,85",BRC0109H,Nome não encontrado
Proteína,g,"2,32","4,64",BRC0109H,Nome não encontrado
Lipídios,g,"0,29","0,57",BRC0109H,Nome não encontrado
Fibra alimentar,g,"0,53","1,06",BRC0109H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0109H,Nome não encontrado
Cinzas,g,"0,68","1,36",BRC0109H,Nome não encontrado
Colesterol,mg,"28,4","56,8",BRC0109H,Nome não encontrado
Ácidos graxos saturados,g,"0,18","0,36",BRC0109H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,06","0,12",BRC0109H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,02",BRC0109H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0109H,Nome não encontrado
Cálcio,mg,105,210,BRC0109H,Nome não encontrado
Ferro,mg,"0,08","0,17",BRC0109H,Nome não encontrado
Sódio,mg,"36,4","72,8",BRC0109H,Nome não encontrado
Magnésio,mg,"10,6","21,2",BRC0109H,Nome não encontrado
Fósforo,mg,"63,5",127,BRC0109H,Nome não encontrado
Potássio,mg,148,296,BRC0109H,Nome não encontrado
Manganês,mg,"0,19","0,37",BRC0109H,Nome não encontrado
Zinco,mg,"0,29","0,57",BRC0109H,Nome não encontrado
Cobre,mg,"0,02","0,04",BRC0109H,Nome não encontrado
Selênio,mcg,"0,03","0,06",BRC0109H,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0109H,Nome não encontrado
Vitamina A (RAE),mcg,"6,45","12,9",BRC0109H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0109H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,13",BRC0109H,Nome não encontrado
Tiamina,mg,"0,03","0,06",BRC0109H,Nome não encontrado
Riboflavina,mg,"0,21","0,42",BRC0109H,Nome não encontrado
Niacina,mg,"1,12","2,24",BRC0109H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0109H,Nome não encontrado
Vitamina B12,mcg,"0,38","0,77",BRC0109H,Nome não encontrado
Vitamina C,mg,"0,04","0,08",BRC0109H,Nome não encontrado
Equivalente de folato,mcg,"4,48","8,97",BRC0109H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0109H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0109H,Nome não encontrado
Gordura de adição,g,-,-,BRC0109H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0109H,Nome não encontrado
Proteína animal,g,-,-,BRC0109H,Nome não encontrado
