componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,112,269,185,BRC0144C,Nome não encontrado
Energia,kcal,26,63,43,BRC0144C,Nome não encontrado
Umidade,g,"93,5",224,154,BRC0144C,Nome não encontrado
Carboidrato total,g,"6,06","14,5","9,99",BRC0144C,Nome não encontrado
Carboidrato disponível,g,"5,95","14,3","9,82",BRC0144C,Nome não encontrado
Proteína,g,"0,19","0,45","0,31",BRC0144C,Nome não encontrado
Lipídios,g,"0,19","0,45","0,31",BRC0144C,Nome não encontrado
Fibra alimentar,g,"0,10","0,24","0,17",BRC0144C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0144C,Nome não encontrado
Cinzas,g,"0,10","0,24","0,17",BRC0144C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0144C,Nome não encontrado
Ácidos graxos saturados,g,"0,02","0,05","0,03",BRC0144C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,06","0,04",BRC0144C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,08","0,20","0,14",BRC0144C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0144C,Nome não encontrado
Cálcio,mg,"0,66","1,57","1,08",BRC0144C,Nome não encontrado
Ferro,mg,"0,06","0,13","0,09",BRC0144C,Nome não encontrado
Sódio,mg,"0,75","1,80","1,24",BRC0144C,Nome não encontrado
Magnésio,mg,"2,03","4,88","3,35",BRC0144C,Nome não encontrado
Fósforo,mg,"4,56","10,9","7,53",BRC0144C,Nome não encontrado
Potássio,mg,"30,8","73,9","50,8",BRC0144C,Nome não encontrado
Manganês,mg,"0,01","0,03","0,02",BRC0144C,Nome não encontrado
Zinco,mg,"0,04","0,08","0,06",BRC0144C,Nome não encontrado
Cobre,mg,"0,02","0,04","0,03",BRC0144C,Nome não encontrado
Selênio,mcg,"0,10","0,24","0,17",BRC0144C,Nome não encontrado
Vitamina A (RE),mcg,"9,76","23,4","16,1",BRC0144C,Nome não encontrado
Vitamina A (RAE),mcg,"4,88","11,7","8,05",BRC0144C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0144C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,01","0,01",BRC0144C,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0144C,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0144C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0144C,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0144C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0144C,Nome não encontrado
Vitamina C,mg,"1,79","4,29","2,95",BRC0144C,Nome não encontrado
Equivalente de folato,mcg,"0,83","1,99","1,37",BRC0144C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0144C,Nome não encontrado
Açúcar de adição,g,"5,00","12,0","8,25",BRC0144C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0144C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0144C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0144C,Nome não encontrado
