componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir rasa (35 g),Colher sopa cheia (20 g),Colher sopa rasa (12 g),codigo_alimento,nome_alimento
Energia,kJ,182,82,63,36,21,BRC0217B,Nome não encontrado
Energia,kcal,44,19,15,8,5,BRC0217B,Nome não encontrado
Umidade,g,"91,6","41,2","32,1","18,3","11,0",BRC0217B,Nome não encontrado
Carboidrato total,g,"3,95","1,78","1,38","0,79","0,47",BRC0217B,Nome não encontrado
Carboidrato disponível,g,"2,70","1,22","0,95","0,54","0,32",BRC0217B,Nome não encontrado
Proteína,g,"1,50","0,68","0,53","0,30","0,18",BRC0217B,Nome não encontrado
Lipídios,g,"2,72","1,22","0,95","0,54","0,33",BRC0217B,Nome não encontrado
Fibra alimentar,g,"1,25","0,56","0,44","0,25","0,15",BRC0217B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0217B,Nome não encontrado
Cinzas,g,"0,20","0,09","0,07","0,04","0,02",BRC0217B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0217B,Nome não encontrado
Ácidos graxos saturados,g,"0,25","0,11","0,09","0,05","0,03",BRC0217B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00","0,00","0,00","0,00",BRC0217B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,74","0,33","0,26","0,15","0,09",BRC0217B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0217B,Nome não encontrado
Cálcio,mg,"36,2","16,3","12,7","7,25","4,35",BRC0217B,Nome não encontrado
Ferro,mg,"0,11","0,05","0,04","0,02","0,01",BRC0217B,Nome não encontrado
Sódio,mg,"2,42","1,09","0,85","0,48","0,29",BRC0217B,Nome não encontrado
Magnésio,mg,"6,56","2,95","2,30","1,31","0,79",BRC0217B,Nome não encontrado
Fósforo,mg,"14,6","6,56","5,10","2,91","1,75",BRC0217B,Nome não encontrado
Potássio,mg,101,"45,5","35,4","20,2","12,1",BRC0217B,Nome não encontrado
Manganês,mg,"0,14","0,06","0,05","0,03","0,02",BRC0217B,Nome não encontrado
Zinco,mg,"0,13","0,06","0,04","0,03","0,02",BRC0217B,Nome não encontrado
Cobre,mg,"0,06","0,02","0,02","0,01","0,01",BRC0217B,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0217B,Nome não encontrado
Vitamina A (RE),mcg,108,"48,9","38,0","21,7","13,0",BRC0217B,Nome não encontrado
Vitamina A (RAE),mcg,"54,3","24,5","19,0","10,9","6,52",BRC0217B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0217B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,07","0,48","0,37","0,21","0,13",BRC0217B,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,BRC0217B,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,01","0,00","0,00",BRC0217B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0217B,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,01","0,01","0,01",BRC0217B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0217B,Nome não encontrado
Vitamina C,mg,"8,54","3,84","2,99","1,71","1,02",BRC0217B,Nome não encontrado
Equivalente de folato,mcg,"24,2","10,9","8,46","4,83","2,90",BRC0217B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0217B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0217B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0217B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0217B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0217B,Nome não encontrado
