componente,unidade,Valor por 100g,Colher chá cheia (2 g),Colher chá rasa (1 g),Colher sobremesa cheia (6 g),Colher sobremesa rasa (3 g),Colher sopa cheia (20 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1638,32,16,98,49,327,163,BRC0089A,Nome não encontrado
Energia,kcal,386,7,3,23,11,77,38,BRC0089A,Nome não encontrado
Umidade,g,"2,50","0,05","0,03","0,15","0,08","0,50","0,25",BRC0089A,Nome não encontrado
Carboidrato total,g,"90,1","1,80","0,90","5,41","2,70","18,0","9,01",BRC0089A,Nome não encontrado
Carboidrato disponível,g,"87,7","1,75","0,88","5,26","2,63","17,5","8,77",BRC0089A,Nome não encontrado
Proteína,g,"5,97","0,12","0,06","0,36","0,18","1,19","0,60",BRC0089A,Nome não encontrado
Lipídios,g,"0,70","0,01","0,01","0,04","0,02","0,14","0,07",BRC0089A,Nome não encontrado
Fibra alimentar,g,"2,40","0,05","0,02","0,14","0,07","0,48","0,24",BRC0089A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0089A,Nome não encontrado
Cinzas,g,"0,70","0,01","0,01","0,04","0,02","0,14","0,07",BRC0089A,Nome não encontrado
Colesterol,mg,,,,,,,,BRC0089A,Nome não encontrado
Ácidos graxos saturados,g,"0,17","0,00","0,00","0,01","0,00","0,03","0,02",BRC0089A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,13","0,00","0,00","0,01","0,00","0,03","0,01",BRC0089A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,33","0,01","0,00","0,02","0,01","0,07","0,03",BRC0089A,Nome não encontrado
Ácidos graxos trans,g,,,,,,,,BRC0089A,Nome não encontrado
Cálcio,mg,595,"11,9","5,96","35,7","17,9",119,"59,6",BRC0089A,Nome não encontrado
Ferro,mg,"12,9","0,26","0,13","0,77","0,39","2,58","1,29",BRC0089A,Nome não encontrado
Sódio,mg,1185,"23,7","11,9","71,2","35,6",237,118,BRC0089A,Nome não encontrado
Magnésio,mg,"73,7","1,47","0,74","4,42","2,21","14,7","7,37",BRC0089A,Nome não encontrado
Fósforo,mg,525,"10,5","5,25","31,5","15,8",105,"52,5",BRC0089A,Nome não encontrado
Potássio,mg,249,"4,98","2,49","14,9","7,47","49,8","24,9",BRC0089A,Nome não encontrado
Manganês,mg,"2,33","0,05","0,02","0,14","0,07","0,47","0,23",BRC0089A,Nome não encontrado
Zinco,mg,"2,06","0,04","0,02","0,12","0,06","0,41","0,21",BRC0089A,Nome não encontrado
Cobre,mg,"0,21","0,00","0,00","0,01","0,01","0,04","0,02",BRC0089A,Nome não encontrado
Selênio,mcg,,,,,,,,BRC0089A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0089A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0089A,Nome não encontrado
Vitamina D,mcg,,,,,,,,BRC0089A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,59","0,01","0,01","0,04","0,02","0,12","0,06",BRC0089A,Nome não encontrado
Tiamina,mg,"0,78","0,02","0,01","0,05","0,02","0,16","0,08",BRC0089A,Nome não encontrado
Riboflavina,mg,"0,89","0,02","0,01","0,05","0,03","0,18","0,09",BRC0089A,Nome não encontrado
Niacina,mg,"7,60","0,15","0,08","0,46","0,23","1,52","0,76",BRC0089A,Nome não encontrado
Vitamina B6,mg,"1,52","0,03","0,02","0,09","0,05","0,30","0,15",BRC0089A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0089A,Nome não encontrado
Vitamina C,mg,"13,4","0,27","0,13","0,80","0,40","2,67","1,34",BRC0089A,Nome não encontrado
Equivalente de folato,mcg,"44,9","0,90","0,45","2,70","1,35","8,99","4,49",BRC0089A,Nome não encontrado
Sal de adição,g,,,,,,,,BRC0089A,Nome não encontrado
Açúcar de adição,g,,,,,,,,BRC0089A,Nome não encontrado
Gordura de adição,g,,,,,,,,BRC0089A,Nome não encontrado
Proteína vegetal,g,,,,,,,,BRC0089A,Nome não encontrado
Proteína animal,g,,,,,,,,BRC0089A,Nome não encontrado
