componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (60 unidade),codigo_alimento,nome_alimento
Energia,kJ,944,566,BRC0876A,Nome não encontrado
Energia,kcal,224,134,BRC0876A,Nome não encontrado
Umidade,g,"50,6","30,4",BRC0876A,Nome não encontrado
Carboidrato total,g,"31,0","18,6",BRC0876A,Nome não encontrado
Carboidrato disponível,g,"29,7","17,8",BRC0876A,Nome não encontrado
Proteína,g,"10,7","6,40",BRC0876A,Nome não encontrado
Lipídios,g,"6,70","4,02",BRC0876A,Nome não encontrado
Fibra alimentar,g,"1,29","0,77",BRC0876A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0876A,Nome não encontrado
Cinzas,g,"1,05","0,63",BRC0876A,Nome não encontrado
Colesterol,mg,"17,5","10,5",BRC0876A,Nome não encontrado
Ácidos graxos saturados,g,"1,32","0,79",BRC0876A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,15","1,29",BRC0876A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,86","1,71",BRC0876A,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,03",BRC0876A,Nome não encontrado
Cálcio,mg,"21,0","12,6",BRC0876A,Nome não encontrado
Ferro,mg,"1,85","1,11",BRC0876A,Nome não encontrado
Sódio,mg,208,125,BRC0876A,Nome não encontrado
Magnésio,mg,"16,0","9,58",BRC0876A,Nome não encontrado
Fósforo,mg,"88,8","53,3",BRC0876A,Nome não encontrado
Potássio,mg,121,"73,1",BRC0876A,Nome não encontrado
Manganês,mg,"0,22","0,13",BRC0876A,Nome não encontrado
Zinco,mg,"0,68","0,41",BRC0876A,Nome não encontrado
Cobre,mg,"0,08","0,05",BRC0876A,Nome não encontrado
Selênio,mcg,"2,41","1,44",BRC0876A,Nome não encontrado
Vitamina A (RE),mcg,"30,6","18,4",BRC0876A,Nome não encontrado
Vitamina A (RAE),mcg,"15,3","9,19",BRC0876A,Nome não encontrado
Vitamina D,mcg,"0,06","0,04",BRC0876A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,27","0,16",BRC0876A,Nome não encontrado
Tiamina,mg,"0,23","0,14",BRC0876A,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0876A,Nome não encontrado
Niacina,mg,"2,44","1,46",BRC0876A,Nome não encontrado
Vitamina B6,mg,"0,03","0,02",BRC0876A,Nome não encontrado
Vitamina B12,mcg,"0,14","0,08",BRC0876A,Nome não encontrado
Vitamina C,mg,"2,45","1,47",BRC0876A,Nome não encontrado
Equivalente de folato,mcg,"5,71","3,43",BRC0876A,Nome não encontrado
Sal de adição,g,"0,47","0,28",BRC0876A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0876A,Nome não encontrado
Gordura de adição,g,-,-,BRC0876A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0876A,Nome não encontrado
Proteína animal,g,-,-,BRC0876A,Nome não encontrado
