componente,unidade,Valor por 100g,Colher sopa rasa (15 mL),codigo_alimento,nome_alimento
Energia,kJ,307,45,BRC0191T,Nome não encontrado
Energia,kcal,73,10,BRC0191T,Nome não encontrado
Umidade,g,"62,7","9,40",BRC0191T,Nome não encontrado
Carboidrato total,g,"14,6","2,19",BRC0191T,Nome não encontrado
Carboidrato disponível,g,"11,0","1,65",BRC0191T,Nome não encontrado
Proteína,g,"5,04","0,76",BRC0191T,Nome não encontrado
Lipídios,g,"0,14","0,02",BRC0191T,Nome não encontrado
Fibra alimentar,g,"3,60","0,54",BRC0191T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0191T,Nome não encontrado
Cinzas,g,"17,6","2,64",BRC0191T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0191T,Nome não encontrado
Ácidos graxos saturados,g,"0,02","0,00",BRC0191T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,00",BRC0191T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,07","0,01",BRC0191T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0191T,Nome não encontrado
Cálcio,mg,"18,5","2,77",BRC0191T,Nome não encontrado
Ferro,mg,"0,63","0,10",BRC0191T,Nome não encontrado
Sódio,mg,,"0,00",BRC0191T,Nome não encontrado
Magnésio,mg,"30,0","4,51",BRC0191T,Nome não encontrado
Fósforo,mg,"59,8","8,97",BRC0191T,Nome não encontrado
Potássio,mg,209,"31,5",BRC0191T,Nome não encontrado
Manganês,mg,"0,08","0,01",BRC0191T,Nome não encontrado
Zinco,mg,"0,24","0,04",BRC0191T,Nome não encontrado
Cobre,mg,traços,traços,BRC0191T,Nome não encontrado
Selênio,mcg,,,BRC0191T,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0191T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0191T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0191T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0191T,Nome não encontrado
Tiamina,mg,"1,05","0,16",BRC0191T,Nome não encontrado
Riboflavina,mg,"0,08","0,01",BRC0191T,Nome não encontrado
Niacina,mg,"2,67","0,40",BRC0191T,Nome não encontrado
Vitamina B6,mg,"0,20","0,03",BRC0191T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0191T,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0191T,Nome não encontrado
Equivalente de folato,mcg,"5,23","0,78",BRC0191T,Nome não encontrado
Sal de adição,g,,,BRC0191T,Nome não encontrado
Açúcar de adição,g,,,BRC0191T,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0191T,Nome não encontrado
Proteína vegetal,g,"5,04","0,76",BRC0191T,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0191T,Nome não encontrado
