componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,62,147,101,BRC0163C,Nome não encontrado
Energia,kcal,14,34,23,BRC0163C,Nome não encontrado
Umidade,g,"96,3",231,158,BRC0163C,Nome não encontrado
Carboidrato total,g,"3,42","8,20","5,64",BRC0163C,Nome não encontrado
Carboidrato disponível,g,"3,42","8,20","5,64",BRC0163C,Nome não encontrado
Proteína,g,"0,20","0,49","0,33",BRC0163C,Nome não encontrado
Lipídios,g,traços,traços,traços,BRC0163C,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0163C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0163C,Nome não encontrado
Cinzas,g,"0,11","0,26","0,18",BRC0163C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0163C,Nome não encontrado
Ácidos graxos saturados,g,traços,traços,traços,BRC0163C,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0163C,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,traços,BRC0163C,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0163C,Nome não encontrado
Cálcio,mg,"1,67","4,01","2,76",BRC0163C,Nome não encontrado
Ferro,mg,traços,traços,traços,BRC0163C,Nome não encontrado
Sódio,mg,traços,traços,traços,BRC0163C,Nome não encontrado
Magnésio,mg,"2,52","6,05","4,16",BRC0163C,Nome não encontrado
Fósforo,mg,"3,52","8,44","5,80",BRC0163C,Nome não encontrado
Potássio,mg,"46,4",111,"76,6",BRC0163C,Nome não encontrado
Manganês,mg,"0,01","0,02","0,01",BRC0163C,Nome não encontrado
Zinco,mg,traços,traços,traços,BRC0163C,Nome não encontrado
Cobre,mg,"0,01","0,02","0,01",BRC0163C,Nome não encontrado
Selênio,mcg,"0,04","0,09","0,06",BRC0163C,Nome não encontrado
Vitamina A (RE),mcg,"20,6","49,5","34,1",BRC0163C,Nome não encontrado
Vitamina A (RAE),mcg,"10,3","24,8","17,0",BRC0163C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0163C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,12","0,08",BRC0163C,Nome não encontrado
Tiamina,mg,"0,03","0,06","0,04",BRC0163C,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0163C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0163C,Nome não encontrado
Vitamina B6,mg,"0,01","0,03","0,02",BRC0163C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0163C,Nome não encontrado
Vitamina C,mg,"16,3","39,1","26,9",BRC0163C,Nome não encontrado
Equivalente de folato,mcg,"1,95","4,68","3,22",BRC0163C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0163C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0163C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0163C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0163C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0163C,Nome não encontrado
