componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,747,BRC0119G,Nome não encontrado
Energia,kcal,177,BRC0119G,Nome não encontrado
Umidade,g,"61,2",BRC0119G,Nome não encontrado
Carboidrato total,g,"31,7",BRC0119G,Nome não encontrado
Carboidrato disponível,g,"31,6",BRC0119G,Nome não encontrado
Proteína,g,"2,10",BRC0119G,Nome não encontrado
Lipídios,g,"4,69",BRC0119G,Nome não encontrado
Fibra alimentar,g,"0,08",BRC0119G,Nome não encontrado
Álcool,g,"0,00",BRC0119G,Nome não encontrado
Cinzas,g,"0,55",BRC0119G,Nome não encontrado
Colesterol,mg,"14,6",BRC0119G,Nome não encontrado
Ácidos graxos saturados,g,"2,86",BRC0119G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,27",BRC0119G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,13",BRC0119G,Nome não encontrado
Ácidos graxos trans,g,"0,08",BRC0119G,Nome não encontrado
Cálcio,mg,"83,5",BRC0119G,Nome não encontrado
Ferro,mg,"0,44",BRC0119G,Nome não encontrado
Sódio,mg,"44,8",BRC0119G,Nome não encontrado
Magnésio,mg,"11,1",BRC0119G,Nome não encontrado
Fósforo,mg,"58,3",BRC0119G,Nome não encontrado
Potássio,mg,120,BRC0119G,Nome não encontrado
Manganês,mg,"0,31",BRC0119G,Nome não encontrado
Zinco,mg,"0,28",BRC0119G,Nome não encontrado
Cobre,mg,"0,02",BRC0119G,Nome não encontrado
Selênio,mcg,"3,25",BRC0119G,Nome não encontrado
Vitamina A (RE),mcg,"63,7",BRC0119G,Nome não encontrado
Vitamina A (RAE),mcg,"62,8",BRC0119G,Nome não encontrado
Vitamina D,mcg,"0,80",BRC0119G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07",BRC0119G,Nome não encontrado
Tiamina,mg,"0,02",BRC0119G,Nome não encontrado
Riboflavina,mg,"0,16",BRC0119G,Nome não encontrado
Niacina,mg,"0,97",BRC0119G,Nome não encontrado
Vitamina B6,mg,traços,BRC0119G,Nome não encontrado
Vitamina B12,mcg,"0,23",BRC0119G,Nome não encontrado
Vitamina C,mg,traços,BRC0119G,Nome não encontrado
Equivalente de folato,mcg,"3,48",BRC0119G,Nome não encontrado
Sal de adição,g,"14,0",BRC0119G,Nome não encontrado
Açúcar de adição,g,"0,00",BRC0119G,Nome não encontrado
Gordura de adição,g,-,BRC0119G,Nome não encontrado
Proteína vegetal,g,-,BRC0119G,Nome não encontrado
Proteína animal,g,-,BRC0119G,Nome não encontrado
