componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,650,1560,1072,BRC0003G,Nome não encontrado
Energia,kcal,154,368,253,BRC0003G,Nome não encontrado
Umidade,g,"63,9",153,105,BRC0003G,Nome não encontrado
Carboidrato total,g,"30,3","72,8","50,0",BRC0003G,Nome não encontrado
Carboidrato disponível,g,"30,3","72,8","50,0",BRC0003G,Nome não encontrado
Proteína,g,"2,70","6,48","4,46",BRC0003G,Nome não encontrado
Lipídios,g,"2,40","5,76","3,96",BRC0003G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0003G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0003G,Nome não encontrado
Cinzas,g,"0,71","1,70","1,17",BRC0003G,Nome não encontrado
Colesterol,mg,"6,76","16,2","11,2",BRC0003G,Nome não encontrado
Ácidos graxos saturados,g,"1,39","3,32","2,29",BRC0003G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,76","1,81","1,25",BRC0003G,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,traços,BRC0003G,Nome não encontrado
Ácidos graxos trans,g,"0,08","0,18","0,13",BRC0003G,Nome não encontrado
Cálcio,mg,260,624,429,BRC0003G,Nome não encontrado
Ferro,mg,traços,traços,traços,BRC0003G,Nome não encontrado
Sódio,mg,135,325,224,BRC0003G,Nome não encontrado
Magnésio,mg,"25,2","60,6","41,6",BRC0003G,Nome não encontrado
Fósforo,mg,185,444,305,BRC0003G,Nome não encontrado
Potássio,mg,182,438,301,BRC0003G,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0003G,Nome não encontrado
Zinco,mg,"0,72","1,72","1,18",BRC0003G,Nome não encontrado
Cobre,mg,"0,06","0,14","0,10",BRC0003G,Nome não encontrado
Selênio,mcg,,,,BRC0003G,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0003G,Nome não encontrado
Vitamina A (RAE),mcg,222,535,367,BRC0003G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0003G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,10","0,24","0,17",BRC0003G,Nome não encontrado
Tiamina,mg,"0,08","0,19","0,13",BRC0003G,Nome não encontrado
Riboflavina,mg,"0,40","0,96","0,66",BRC0003G,Nome não encontrado
Niacina,mg,"0,97","2,33","1,60",BRC0003G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0003G,Nome não encontrado
Vitamina B12,mcg,"0,73","1,74","1,20",BRC0003G,Nome não encontrado
Vitamina C,mg,"6,03","14,5","9,95",BRC0003G,Nome não encontrado
Equivalente de folato,mcg,"14,0","33,5","23,0",BRC0003G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0003G,Nome não encontrado
Açúcar de adição,g,,,,BRC0003G,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0003G,Nome não encontrado
Proteína vegetal,g,,,,BRC0003G,Nome não encontrado
Proteína animal,g,,,,BRC0003G,Nome não encontrado
