componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,728,363,800,655,BRC1097A,Nome não encontrado
Energia,kcal,173,86,190,156,BRC1097A,Nome não encontrado
Umidade,g,"64,1","32,0","70,5","57,7",BRC1097A,Nome não encontrado
Carboidrato total,g,"20,5","10,3","22,6","18,5",BRC1097A,Nome não encontrado
Carboidrato disponível,g,"19,6","9,80","21,6","17,6",BRC1097A,Nome não encontrado
Proteína,g,"8,40","4,20","9,24","7,56",BRC1097A,Nome não encontrado
Lipídios,g,"6,62","3,31","7,28","5,95",BRC1097A,Nome não encontrado
Fibra alimentar,g,"0,91","0,45","1,00","0,82",BRC1097A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC1097A,Nome não encontrado
Cinzas,g,"0,39","0,20","0,43","0,35",BRC1097A,Nome não encontrado
Colesterol,mg,"12,3","6,13","13,5","11,0",BRC1097A,Nome não encontrado
Ácidos graxos saturados,g,"1,43","0,71","1,57","1,28",BRC1097A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,75","0,88","1,93","1,58",BRC1097A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,16","1,58","3,48","2,85",BRC1097A,Nome não encontrado
Ácidos graxos trans,g,"0,08","0,04","0,09","0,07",BRC1097A,Nome não encontrado
Cálcio,mg,"10,6","5,30","11,7","9,53",BRC1097A,Nome não encontrado
Ferro,mg,"0,72","0,36","0,79","0,65",BRC1097A,Nome não encontrado
Sódio,mg,"12,8","6,41","14,1","11,5",BRC1097A,Nome não encontrado
Magnésio,mg,"4,28","2,14","4,71","3,85",BRC1097A,Nome não encontrado
Fósforo,mg,"65,9","33,0","72,5","59,4",BRC1097A,Nome não encontrado
Potássio,mg,108,"54,2",119,"97,6",BRC1097A,Nome não encontrado
Manganês,mg,"0,19","0,10","0,21","0,17",BRC1097A,Nome não encontrado
Zinco,mg,"1,47","0,73","1,61","1,32",BRC1097A,Nome não encontrado
Cobre,mg,"0,08","0,04","0,08","0,07",BRC1097A,Nome não encontrado
Selênio,mcg,"1,38","0,69","1,52","1,24",BRC1097A,Nome não encontrado
Vitamina A (RE),mcg,"10,4","5,20","11,4","9,35",BRC1097A,Nome não encontrado
Vitamina A (RAE),mcg,"5,42","2,71","5,96","4,88",BRC1097A,Nome não encontrado
Vitamina D,mcg,"0,05","0,03","0,06","0,05",BRC1097A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,36","0,18","0,40","0,32",BRC1097A,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,04","0,04",BRC1097A,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,01","0,01",BRC1097A,Nome não encontrado
Niacina,mg,"1,25","0,62","1,37","1,12",BRC1097A,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,04","0,03",BRC1097A,Nome não encontrado
Vitamina B12,mcg,"0,24","0,12","0,27","0,22",BRC1097A,Nome não encontrado
Vitamina C,mg,"1,66","0,83","1,83","1,50",BRC1097A,Nome não encontrado
Equivalente de folato,mcg,"50,7","25,3","55,8","45,6",BRC1097A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC1097A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC1097A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC1097A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC1097A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC1097A,Nome não encontrado
