componente,unidade,Valor por 100g,Colher servir rasa (50 g),codigo_alimento,nome_alimento
Energia,kJ,721,360,BRC0094G,Nome não encontrado
Energia,kcal,174,86,BRC0094G,Nome não encontrado
Umidade,g,"70,0","35,0",BRC0094G,Nome não encontrado
Carboidrato total,g,"4,29","2,14",BRC0094G,Nome não encontrado
Carboidrato disponível,g,"4,16","2,08",BRC0094G,Nome não encontrado
Proteína,g,"11,8","5,92",BRC0094G,Nome não encontrado
Lipídios,g,"12,2","6,10",BRC0094G,Nome não encontrado
Fibra alimentar,g,"0,12","0,06",BRC0094G,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0094G,Nome não encontrado
Cinzas,g,"1,68","0,84",BRC0094G,Nome não encontrado
Colesterol,mg,"44,9","22,4",BRC0094G,Nome não encontrado
Ácidos graxos saturados,g,"3,45","1,72",BRC0094G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,26","1,63",BRC0094G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,12","1,56",BRC0094G,Nome não encontrado
Ácidos graxos trans,g,"0,16","0,08",BRC0094G,Nome não encontrado
Cálcio,mg,"31,1","15,5",BRC0094G,Nome não encontrado
Ferro,mg,"0,27","0,14",BRC0094G,Nome não encontrado
Sódio,mg,428,214,BRC0094G,Nome não encontrado
Magnésio,mg,"12,2","6,12",BRC0094G,Nome não encontrado
Fósforo,mg,"86,7","43,3",BRC0094G,Nome não encontrado
Potássio,mg,154,"77,0",BRC0094G,Nome não encontrado
Manganês,mg,"0,06","0,03",BRC0094G,Nome não encontrado
Zinco,mg,"0,23","0,11",BRC0094G,Nome não encontrado
Cobre,mg,"0,11","0,05",BRC0094G,Nome não encontrado
Selênio,mcg,"16,4","8,21",BRC0094G,Nome não encontrado
Vitamina A (RE),mcg,"49,5","24,7",BRC0094G,Nome não encontrado
Vitamina A (RAE),mcg,"11,9","5,94",BRC0094G,Nome não encontrado
Vitamina D,mcg,"39,7","19,8",BRC0094G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,96","0,48",BRC0094G,Nome não encontrado
Tiamina,mg,"0,01","0,00",BRC0094G,Nome não encontrado
Riboflavina,mg,"0,06","0,03",BRC0094G,Nome não encontrado
Niacina,mg,"0,31","0,16",BRC0094G,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC0094G,Nome não encontrado
Vitamina B12,mcg,"0,96","0,48",BRC0094G,Nome não encontrado
Vitamina C,mg,"1,36","0,68",BRC0094G,Nome não encontrado
Equivalente de folato,mcg,"9,20","4,60",BRC0094G,Nome não encontrado
Sal de adição,g,"0,45","0,23",BRC0094G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0094G,Nome não encontrado
Gordura de adição,g,-,-,BRC0094G,Nome não encontrado
Proteína vegetal,g,-,-,BRC0094G,Nome não encontrado
Proteína animal,g,-,-,BRC0094G,Nome não encontrado
