componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Colher sopa rasa (13 g),codigo_alimento,nome_alimento
Energia,kJ,103,20,13,BRC0031B,Nome não encontrado
Energia,kcal,24,4,3,BRC0031B,Nome não encontrado
Umidade,g,"92,9","18,6","12,1",BRC0031B,Nome não encontrado
Carboidrato total,g,"5,25","1,05","0,68",BRC0031B,Nome não encontrado
Carboidrato disponível,g,"3,57","0,71","0,46",BRC0031B,Nome não encontrado
Proteína,g,"1,10","0,22","0,14",BRC0031B,Nome não encontrado
Lipídios,g,"0,27","0,05","0,04",BRC0031B,Nome não encontrado
Fibra alimentar,g,"1,67","0,33","0,22",BRC0031B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0031B,Nome não encontrado
Cinzas,g,"0,46","0,09","0,06",BRC0031B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0031B,Nome não encontrado
Ácidos graxos saturados,g,"0,05","0,01","0,01",BRC0031B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00","0,00",BRC0031B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,08","0,02","0,01",BRC0031B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0031B,Nome não encontrado
Cálcio,mg,"7,99","1,60","1,04",BRC0031B,Nome não encontrado
Ferro,mg,"0,39","0,08","0,05",BRC0031B,Nome não encontrado
Sódio,mg,traços,traços,traços,BRC0031B,Nome não encontrado
Magnésio,mg,"10,5","2,10","1,37",BRC0031B,Nome não encontrado
Fósforo,mg,"19,6","3,92","2,55",BRC0031B,Nome não encontrado
Potássio,mg,202,"40,4","26,3",BRC0031B,Nome não encontrado
Manganês,mg,"0,10","0,02","0,01",BRC0031B,Nome não encontrado
Zinco,mg,"0,17","0,03","0,02",BRC0031B,Nome não encontrado
Cobre,mg,"0,05","0,01","0,01",BRC0031B,Nome não encontrado
Selênio,mcg,"0,20","0,04","0,03",BRC0031B,Nome não encontrado
Vitamina A (RE),mcg,"39,8","7,96","5,17",BRC0031B,Nome não encontrado
Vitamina A (RAE),mcg,"19,9","3,98","2,59",BRC0031B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0031B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,13","0,23","0,15",BRC0031B,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,00",BRC0031B,Nome não encontrado
Riboflavina,mg,"0,03","0,01","0,00",BRC0031B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0031B,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,00",BRC0031B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0031B,Nome não encontrado
Vitamina C,mg,153,"30,7","19,9",BRC0031B,Nome não encontrado
Equivalente de folato,mcg,"26,5","5,30","3,45",BRC0031B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0031B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0031B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0031B,Nome não encontrado
Proteína vegetal,g,"1,10","0,22","0,14",BRC0031B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0031B,Nome não encontrado
