componente,unidade,Valor por 100g,Colher servir cheia (80 g),Colher sopa cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,246,196,110,BRC1057B,Nome não encontrado
Energia,kcal,60,47,26,BRC1057B,Nome não encontrado
Umidade,g,"89,8","71,8","40,4",BRC1057B,Nome não encontrado
Carboidrato total,g,"4,25","3,40","1,91",BRC1057B,Nome não encontrado
Carboidrato disponível,g,"2,40","1,92","1,08",BRC1057B,Nome não encontrado
Proteína,g,"0,77","0,62","0,35",BRC1057B,Nome não encontrado
Lipídios,g,"4,79","3,83","2,16",BRC1057B,Nome não encontrado
Fibra alimentar,g,"1,85","1,48","0,83",BRC1057B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1057B,Nome não encontrado
Cinzas,g,"0,39","0,31","0,18",BRC1057B,Nome não encontrado
Colesterol,mg,"11,9","9,55","5,37",BRC1057B,Nome não encontrado
Ácidos graxos saturados,g,"2,78","2,22","1,25",BRC1057B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,19","0,95","0,53",BRC1057B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,16","0,13","0,07",BRC1057B,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,11","0,06",BRC1057B,Nome não encontrado
Cálcio,mg,"25,1","20,1","11,3",BRC1057B,Nome não encontrado
Ferro,mg,"0,15","0,12","0,07",BRC1057B,Nome não encontrado
Sódio,mg,"10,9","8,74","4,92",BRC1057B,Nome não encontrado
Magnésio,mg,"9,05","7,24","4,07",BRC1057B,Nome não encontrado
Fósforo,mg,"23,3","18,7","10,5",BRC1057B,Nome não encontrado
Potássio,mg,210,168,"94,9",BRC1057B,Nome não encontrado
Manganês,mg,"0,03","0,02","0,01",BRC1057B,Nome não encontrado
Zinco,mg,"0,17","0,13","0,08",BRC1057B,Nome não encontrado
Cobre,mg,"0,01","0,01","0,01",BRC1057B,Nome não encontrado
Selênio,mcg,"0,79","0,63","0,35",BRC1057B,Nome não encontrado
Vitamina A (RE),mcg,618,494,278,BRC1057B,Nome não encontrado
Vitamina A (RAE),mcg,336,269,151,BRC1057B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC1057B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,05","0,84","0,47",BRC1057B,Nome não encontrado
Tiamina,mg,"0,04","0,03","0,02",BRC1057B,Nome não encontrado
Riboflavina,mg,"0,02","0,02","0,01",BRC1057B,Nome não encontrado
Niacina,mg,"1,63","1,30","0,73",BRC1057B,Nome não encontrado
Vitamina B6,mg,"0,03","0,03","0,01",BRC1057B,Nome não encontrado
Vitamina B12,mcg,"0,04","0,04","0,02",BRC1057B,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC1057B,Nome não encontrado
Equivalente de folato,mcg,"6,57","5,25","2,95",BRC1057B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC1057B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1057B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1057B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1057B,Nome não encontrado
Proteína animal,g,-,-,-,BRC1057B,Nome não encontrado
