componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Pedaço/ Unidade/ Fatia (M) (16 g),codigo_alimento,nome_alimento
Energia,kJ,538,134,86,BRC0249F,Nome não encontrado
Energia,kcal,127,31,20,BRC0249F,Nome não encontrado
Umidade,g,"68,6","17,2","11,0",BRC0249F,Nome não encontrado
Carboidrato total,g,"0,92","0,23","0,15",BRC0249F,Nome não encontrado
Carboidrato disponível,g,"0,92","0,23","0,15",BRC0249F,Nome não encontrado
Proteína,g,"28,8","7,21","4,61",BRC0249F,Nome não encontrado
Lipídios,g,"0,88","0,22","0,14",BRC0249F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0249F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0249F,Nome não encontrado
Cinzas,g,"0,75","0,19","0,12",BRC0249F,Nome não encontrado
Colesterol,mg,102,"25,6","16,4",BRC0249F,Nome não encontrado
Ácidos graxos saturados,g,"0,23","0,06","0,04",BRC0249F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,22","0,05","0,04",BRC0249F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,04","0,02",BRC0249F,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0249F,Nome não encontrado
Cálcio,mg,"16,7","4,17","2,67",BRC0249F,Nome não encontrado
Ferro,mg,"3,78","0,94","0,60",BRC0249F,Nome não encontrado
Sódio,mg,104,"26,2","16,8",BRC0249F,Nome não encontrado
Magnésio,mg,"22,8","5,69","3,64",BRC0249F,Nome não encontrado
Fósforo,mg,224,"56,2","35,9",BRC0249F,Nome não encontrado
Potássio,mg,359,"89,9","57,5",BRC0249F,Nome não encontrado
Manganês,mg,,,,BRC0249F,Nome não encontrado
Zinco,mg,"4,13","1,03","0,66",BRC0249F,Nome não encontrado
Cobre,mg,,,,BRC0249F,Nome não encontrado
Selênio,mcg,,,,BRC0249F,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0249F,Nome não encontrado
Vitamina A (RAE),mcg,"8,12","2,03","1,30",BRC0249F,Nome não encontrado
Vitamina D,mcg,,,,BRC0249F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,14","0,04","0,02",BRC0249F,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,01",BRC0249F,Nome não encontrado
Riboflavina,mg,"0,35","0,09","0,06",BRC0249F,Nome não encontrado
Niacina,mg,"5,59","1,40","0,89",BRC0249F,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00",BRC0249F,Nome não encontrado
Vitamina B12,mcg,"1,84","0,46","0,29",BRC0249F,Nome não encontrado
Vitamina C,mg,"5,62","1,40","0,90",BRC0249F,Nome não encontrado
Equivalente de folato,mcg,"7,59","1,90","1,21",BRC0249F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0249F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0249F,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0249F,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0249F,Nome não encontrado
Proteína animal,g,"28,8","7,21","4,61",BRC0249F,Nome não encontrado
