componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,479,287,215,479,BRC0422E,Nome não encontrado
Energia,kcal,114,68,51,114,BRC0422E,Nome não encontrado
Umidade,g,"77,2","46,3","34,8","77,2",BRC0422E,Nome não encontrado
Carboidrato total,g,"0,03","0,02","0,01","0,03",BRC0422E,Nome não encontrado
Carboidrato disponível,g,"0,49","0,29","0,22","0,49",BRC0422E,Nome não encontrado
Proteína,g,"16,0","9,62","7,21","16,0",BRC0422E,Nome não encontrado
Lipídios,g,"5,48","3,29","2,47","5,48",BRC0422E,Nome não encontrado
Fibra alimentar,g,"0,51","0,31","0,23","0,51",BRC0422E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0422E,Nome não encontrado
Cinzas,g,"1,24","0,75","0,56","1,24",BRC0422E,Nome não encontrado
Colesterol,mg,"48,9","29,4","22,0","48,9",BRC0422E,Nome não encontrado
Ácidos graxos saturados,g,"0,93","0,56","0,42","0,93",BRC0422E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,55","1,53","1,15","2,55",BRC0422E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,49","0,89","0,67","1,49",BRC0422E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00","0,01",BRC0422E,Nome não encontrado
Cálcio,mg,"17,5","10,5","7,87","17,5",BRC0422E,Nome não encontrado
Ferro,mg,"0,25","0,15","0,11","0,25",BRC0422E,Nome não encontrado
Sódio,mg,154,"92,6","69,4",154,BRC0422E,Nome não encontrado
Magnésio,mg,"21,7","13,0","9,78","21,7",BRC0422E,Nome não encontrado
Fósforo,mg,138,"83,1","62,3",138,BRC0422E,Nome não encontrado
Potássio,mg,313,188,141,313,BRC0422E,Nome não encontrado
Manganês,mg,"0,03","0,02","0,01","0,03",BRC0422E,Nome não encontrado
Zinco,mg,"0,29","0,17","0,13","0,29",BRC0422E,Nome não encontrado
Cobre,mg,"0,03","0,02","0,01","0,03",BRC0422E,Nome não encontrado
Selênio,mcg,"32,1","19,3","14,4","32,1",BRC0422E,Nome não encontrado
Vitamina A (RE),mcg,"29,7","17,8","13,4","29,7",BRC0422E,Nome não encontrado
Vitamina A (RAE),mcg,"16,1","9,64","7,23","16,1",BRC0422E,Nome não encontrado
Vitamina D,mcg,"4,26","2,55","1,92","4,26",BRC0422E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,25","0,75","0,56","1,25",BRC0422E,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,01","0,03",BRC0422E,Nome não encontrado
Riboflavina,mg,"0,04","0,03","0,02","0,04",BRC0422E,Nome não encontrado
Niacina,mg,"0,55","0,33","0,25","0,55",BRC0422E,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,01","0,01",BRC0422E,Nome não encontrado
Vitamina B12,mcg,"2,07","1,24","0,93","2,07",BRC0422E,Nome não encontrado
Vitamina C,mg,"4,07","2,44","1,83","4,07",BRC0422E,Nome não encontrado
Equivalente de folato,mcg,"14,3","8,60","6,45","14,3",BRC0422E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0422E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0422E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0422E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0422E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0422E,Nome não encontrado
