componente,unidade,Valor por 100g,Colher sopa cheia (21 g),Colher sopa rasa (16 g),codigo_alimento,nome_alimento
Energia,kJ,1792,376,286,BRC0052T,Nome não encontrado
Energia,kcal,431,90,68,BRC0052T,Nome não encontrado
Umidade,g,"6,84","1,44","1,09",BRC0052T,Nome não encontrado
Carboidrato total,g,"31,5","6,62","5,05",BRC0052T,Nome não encontrado
Carboidrato disponível,g,"10,8","2,27","1,73",BRC0052T,Nome não encontrado
Proteína,g,"33,5","7,04","5,37",BRC0052T,Nome não encontrado
Lipídios,g,"23,6","4,95","3,77",BRC0052T,Nome não encontrado
Fibra alimentar,g,"20,7","4,36","3,32",BRC0052T,Nome não encontrado
Álcool,g,-,-,-,BRC0052T,Nome não encontrado
Cinzas,g,"4,50","0,94","0,72",BRC0052T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0052T,Nome não encontrado
Ácidos graxos saturados,g,"3,41","0,72","0,55",BRC0052T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,21","1,09","0,83",BRC0052T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"13,3","2,80","2,13",BRC0052T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0052T,Nome não encontrado
Cálcio,mg,282,"59,3","45,1",BRC0052T,Nome não encontrado
Ferro,mg,"6,33","1,33","1,01",BRC0052T,Nome não encontrado
Sódio,mg,"2,04","0,43","0,33",BRC0052T,Nome não encontrado
Magnésio,mg,285,"59,9","45,6",BRC0052T,Nome não encontrado
Fósforo,mg,717,150,114,BRC0052T,Nome não encontrado
Potássio,mg,1830,384,292,BRC0052T,Nome não encontrado
Manganês,mg,"2,56","0,54","0,41",BRC0052T,Nome não encontrado
Zinco,mg,"4,98","1,05","0,80",BRC0052T,Nome não encontrado
Cobre,mg,"1,69","0,35","0,27",BRC0052T,Nome não encontrado
Selênio,mcg,"18,1","3,81","2,90",BRC0052T,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0052T,Nome não encontrado
Vitamina A (RAE),mcg,"1,18","0,25","0,19",BRC0052T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0052T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,01","0,21","0,16",BRC0052T,Nome não encontrado
Tiamina,mg,"0,89","0,19","0,14",BRC0052T,Nome não encontrado
Riboflavina,mg,"0,89","0,19","0,14",BRC0052T,Nome não encontrado
Niacina,mg,"1,65","0,35","0,26",BRC0052T,Nome não encontrado
Vitamina B6,mg,"0,38","0,08","0,06",BRC0052T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0052T,Nome não encontrado
Vitamina C,mg,"6,11","1,28","0,98",BRC0052T,Nome não encontrado
Equivalente de folato,mcg,381,"80,2","61,1",BRC0052T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0052T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0052T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0052T,Nome não encontrado
Proteína vegetal,g,"33,5","7,04","5,37",BRC0052T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0052T,Nome não encontrado
