componente,unidade,Valor por 100g,Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,910,910,BRC0046J,Nome não encontrado
Energia,kcal,218,218,BRC0046J,Nome não encontrado
Umidade,g,"60,1","60,1",BRC0046J,Nome não encontrado
Carboidrato total,g,"14,3","14,3",BRC0046J,Nome não encontrado
Carboidrato disponível,g,"13,5","13,5",BRC0046J,Nome não encontrado
Proteína,g,"10,1","10,1",BRC0046J,Nome não encontrado
Lipídios,g,"13,6","13,6",BRC0046J,Nome não encontrado
Fibra alimentar,g,"0,77","0,77",BRC0046J,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0046J,Nome não encontrado
Cinzas,g,"1,97","1,97",BRC0046J,Nome não encontrado
Colesterol,mg,240,240,BRC0046J,Nome não encontrado
Ácidos graxos saturados,g,"6,06","6,06",BRC0046J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,25","4,25",BRC0046J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,04","1,04",BRC0046J,Nome não encontrado
Ácidos graxos trans,g,"0,29","0,29",BRC0046J,Nome não encontrado
Cálcio,mg,"56,0","56,0",BRC0046J,Nome não encontrado
Ferro,mg,"1,75","1,75",BRC0046J,Nome não encontrado
Sódio,mg,642,642,BRC0046J,Nome não encontrado
Magnésio,mg,"21,9","21,9",BRC0046J,Nome não encontrado
Fósforo,mg,173,173,BRC0046J,Nome não encontrado
Potássio,mg,181,181,BRC0046J,Nome não encontrado
Manganês,mg,"0,45","0,45",BRC0046J,Nome não encontrado
Zinco,mg,"1,25","1,25",BRC0046J,Nome não encontrado
Cobre,mg,"0,07","0,07",BRC0046J,Nome não encontrado
Selênio,mcg,"10,7","10,7",BRC0046J,Nome não encontrado
Vitamina A (RE),mcg,167,167,BRC0046J,Nome não encontrado
Vitamina A (RAE),mcg,159,159,BRC0046J,Nome não encontrado
Vitamina D,mcg,"1,15","1,15",BRC0046J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,07","1,07",BRC0046J,Nome não encontrado
Tiamina,mg,"0,15","0,15",BRC0046J,Nome não encontrado
Riboflavina,mg,"0,15","0,15",BRC0046J,Nome não encontrado
Niacina,mg,"0,60","0,60",BRC0046J,Nome não encontrado
Vitamina B6,mg,"0,05","0,05",BRC0046J,Nome não encontrado
Vitamina B12,mcg,"0,57","0,57",BRC0046J,Nome não encontrado
Vitamina C,mg,"1,55","1,55",BRC0046J,Nome não encontrado
Equivalente de folato,mcg,"59,0","59,0",BRC0046J,Nome não encontrado
Sal de adição,g,"0,47","0,47",BRC0046J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0046J,Nome não encontrado
Gordura de adição,g,-,-,BRC0046J,Nome não encontrado
Proteína vegetal,g,-,-,BRC0046J,Nome não encontrado
Proteína animal,g,-,-,BRC0046J,Nome não encontrado
