componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,531,265,583,477,BRC0195A,Nome não encontrado
Energia,kcal,125,62,137,112,BRC0195A,Nome não encontrado
Umidade,g,"68,6","34,3","75,4","61,7",BRC0195A,Nome não encontrado
Carboidrato total,g,"27,3","13,6","30,0","24,6",BRC0195A,Nome não encontrado
Carboidrato disponível,g,"26,3","13,1","28,9","23,6",BRC0195A,Nome não encontrado
Proteína,g,"3,50","1,75","3,85","3,15",BRC0195A,Nome não encontrado
Lipídios,g,"0,46","0,23","0,50","0,41",BRC0195A,Nome não encontrado
Fibra alimentar,g,"1,02","0,51","1,13","0,92",BRC0195A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0195A,Nome não encontrado
Cinzas,g,"0,18","0,09","0,20","0,16",BRC0195A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0195A,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,05","0,11","0,09",BRC0195A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,05","0,03","0,06","0,05",BRC0195A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,07","0,16","0,13",BRC0195A,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02","0,04","0,03",BRC0195A,Nome não encontrado
Cálcio,mg,"5,75","2,88","6,33","5,18",BRC0195A,Nome não encontrado
Ferro,mg,"1,10","0,55","1,21","0,99",BRC0195A,Nome não encontrado
Sódio,mg,"1,26","0,63","1,38","1,13",BRC0195A,Nome não encontrado
Magnésio,mg,traços,traços,traços,traços,BRC0195A,Nome não encontrado
Fósforo,mg,"33,2","16,6","36,5","29,9",BRC0195A,Nome não encontrado
Potássio,mg,"30,9","15,4","34,0","27,8",BRC0195A,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00","0,00",BRC0195A,Nome não encontrado
Zinco,mg,"0,27","0,14","0,30","0,24",BRC0195A,Nome não encontrado
Cobre,mg,"0,05","0,02","0,05","0,04",BRC0195A,Nome não encontrado
Selênio,mcg,"1,79","0,89","1,96","1,61",BRC0195A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0195A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0195A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0195A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,03","0,02","0,04","0,03",BRC0195A,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,06","0,05",BRC0195A,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,01","0,01",BRC0195A,Nome não encontrado
Niacina,mg,"1,12","0,56","1,24","1,01",BRC0195A,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,BRC0195A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0195A,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,BRC0195A,Nome não encontrado
Equivalente de folato,mcg,"66,9","33,4","73,6","60,2",BRC0195A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0195A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0195A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0195A,Nome não encontrado
Proteína vegetal,g,"3,50","1,75","3,85","3,15",BRC0195A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0195A,Nome não encontrado
