componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),Prato fundo (200 g),Prato raso (280 g),codigo_alimento,nome_alimento
Energia,kJ,509,254,559,458,1018,1425,BRC0239A,Nome não encontrado
Energia,kcal,121,60,133,108,242,338,BRC0239A,Nome não encontrado
Umidade,g,"69,4","34,7","76,3","62,5",138,194,BRC0239A,Nome não encontrado
Carboidrato total,g,"22,2","11,1","24,5","20,0","44,5","62,3",BRC0239A,Nome não encontrado
Carboidrato disponível,g,"19,1","9,53","21,0","17,1","38,1","53,3",BRC0239A,Nome não encontrado
Proteína,g,"5,46","2,73","6,01","4,91","10,9","15,3",BRC0239A,Nome não encontrado
Lipídios,g,"1,84","0,92","2,02","1,66","3,68","5,15",BRC0239A,Nome não encontrado
Fibra alimentar,g,"3,20","1,60","3,52","2,88","6,40","8,96",BRC0239A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0239A,Nome não encontrado
Cinzas,g,"1,04","0,52","1,14","0,94","2,08","2,91",BRC0239A,Nome não encontrado
Colesterol,mg,"3,62","1,81","3,98","3,25","7,23","10,1",BRC0239A,Nome não encontrado
Ácidos graxos saturados,g,"0,47","0,23","0,52","0,42","0,94","1,31",BRC0239A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,45","0,22","0,49","0,40","0,89","1,25",BRC0239A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,80","0,40","0,88","0,72","1,60","2,24",BRC0239A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,01","0,01","0,02","0,03",BRC0239A,Nome não encontrado
Cálcio,mg,"8,93","4,47","9,83","8,04","17,9","25,0",BRC0239A,Nome não encontrado
Ferro,mg,"0,54","0,27","0,59","0,48","1,07","1,50",BRC0239A,Nome não encontrado
Sódio,mg,269,134,295,242,538,753,BRC0239A,Nome não encontrado
Magnésio,mg,"13,1","6,53","14,4","11,8","26,1","36,6",BRC0239A,Nome não encontrado
Fósforo,mg,"54,8","27,4","60,3","49,3",109,153,BRC0239A,Nome não encontrado
Potássio,mg,"98,7","49,3",108,"88,8",197,276,BRC0239A,Nome não encontrado
Manganês,mg,"0,23","0,12","0,26","0,21","0,47","0,66",BRC0239A,Nome não encontrado
Zinco,mg,"0,74","0,37","0,81","0,66","1,47","2,06",BRC0239A,Nome não encontrado
Cobre,mg,"0,08","0,04","0,09","0,07","0,16","0,22",BRC0239A,Nome não encontrado
Selênio,mcg,"2,38","1,19","2,62","2,14","4,76","6,66",BRC0239A,Nome não encontrado
Vitamina A (RE),mcg,"20,6","10,3","22,7","18,6","41,3","57,8",BRC0239A,Nome não encontrado
Vitamina A (RAE),mcg,"10,4","5,19","11,4","9,34","20,8","29,1",BRC0239A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,01","0,01",BRC0239A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,28","0,14","0,30","0,25","0,55","0,78",BRC0239A,Nome não encontrado
Tiamina,mg,"0,10","0,05","0,11","0,09","0,20","0,28",BRC0239A,Nome não encontrado
Riboflavina,mg,"0,06","0,03","0,06","0,05","0,12","0,16",BRC0239A,Nome não encontrado
Niacina,mg,"1,78","0,89","1,95","1,60","3,55","4,97",BRC0239A,Nome não encontrado
Vitamina B6,mg,"0,07","0,04","0,08","0,07","0,15","0,21",BRC0239A,Nome não encontrado
Vitamina B12,mcg,"0,16","0,08","0,18","0,15","0,33","0,46",BRC0239A,Nome não encontrado
Vitamina C,mg,"3,08","1,54","3,38","2,77","6,15","8,61",BRC0239A,Nome não encontrado
Equivalente de folato,mcg,"16,2","8,11","17,8","14,6","32,4","45,4",BRC0239A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42","0,94","1,32",BRC0239A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0239A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,BRC0239A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,BRC0239A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,BRC0239A,Nome não encontrado
