componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,557,334,250,BRC0485F,Nome não encontrado
Energia,kcal,134,80,60,BRC0485F,Nome não encontrado
Umidade,g,"74,6","44,7","33,6",BRC0485F,Nome não encontrado
Carboidrato total,g,"6,18","3,71","2,78",BRC0485F,Nome não encontrado
Carboidrato disponível,g,"4,92","2,95","2,22",BRC0485F,Nome não encontrado
Proteína,g,"7,64","4,58","3,44",BRC0485F,Nome não encontrado
Lipídios,g,"9,00","5,40","4,05",BRC0485F,Nome não encontrado
Fibra alimentar,g,"1,26","0,76","0,57",BRC0485F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0485F,Nome não encontrado
Cinzas,g,"2,61","1,56","1,17",BRC0485F,Nome não encontrado
Colesterol,mg,"19,8","11,9","8,90",BRC0485F,Nome não encontrado
Ácidos graxos saturados,g,"2,81","1,69","1,26",BRC0485F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,79","2,27","1,71",BRC0485F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,73","1,04","0,78",BRC0485F,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0485F,Nome não encontrado
Cálcio,mg,"11,2","6,70","5,03",BRC0485F,Nome não encontrado
Ferro,mg,"0,63","0,38","0,28",BRC0485F,Nome não encontrado
Sódio,mg,612,367,275,BRC0485F,Nome não encontrado
Magnésio,mg,"11,5","6,91","5,18",BRC0485F,Nome não encontrado
Fósforo,mg,"59,2","35,5","26,6",BRC0485F,Nome não encontrado
Potássio,mg,244,146,110,BRC0485F,Nome não encontrado
Manganês,mg,"0,08","0,05","0,04",BRC0485F,Nome não encontrado
Zinco,mg,"0,93","0,56","0,42",BRC0485F,Nome não encontrado
Cobre,mg,"0,06","0,04","0,03",BRC0485F,Nome não encontrado
Selênio,mcg,"0,17","0,10","0,08",BRC0485F,Nome não encontrado
Vitamina A (RE),mcg,"50,8","30,5","22,9",BRC0485F,Nome não encontrado
Vitamina A (RAE),mcg,"25,4","15,2","11,4",BRC0485F,Nome não encontrado
Vitamina D,mcg,"0,31","0,18","0,14",BRC0485F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,36","0,22","0,16",BRC0485F,Nome não encontrado
Tiamina,mg,"0,15","0,09","0,07",BRC0485F,Nome não encontrado
Riboflavina,mg,"0,07","0,04","0,03",BRC0485F,Nome não encontrado
Niacina,mg,"1,20","0,72","0,54",BRC0485F,Nome não encontrado
Vitamina B6,mg,"0,12","0,07","0,05",BRC0485F,Nome não encontrado
Vitamina B12,mcg,"0,55","0,33","0,25",BRC0485F,Nome não encontrado
Vitamina C,mg,"7,93","4,76","3,57",BRC0485F,Nome não encontrado
Equivalente de folato,mcg,"9,96","5,98","4,48",BRC0485F,Nome não encontrado
Sal de adição,g,"0,47","0,28","0,21",BRC0485F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0485F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0485F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0485F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0485F,Nome não encontrado
