componente,unidade,Valor por 100g,Colher sopa cheia (21 g),Colher sopa rasa (12 g),codigo_alimento,nome_alimento
Energia,kJ,1425,299,171,BRC0016T,Nome não encontrado
Energia,kcal,339,71,40,BRC0016T,Nome não encontrado
Umidade,g,"10,6","2,22","1,27",BRC0016T,Nome não encontrado
Carboidrato total,g,"59,7","12,5","7,17",BRC0016T,Nome não encontrado
Carboidrato disponível,g,"43,1","9,05","5,17",BRC0016T,Nome não encontrado
Proteína,g,"21,0","4,42","2,52",BRC0016T,Nome não encontrado
Lipídios,g,"5,46","1,15","0,65",BRC0016T,Nome não encontrado
Fibra alimentar,g,"16,7","3,50","2,00",BRC0016T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0016T,Nome não encontrado
Cinzas,g,"3,21","0,67","0,38",BRC0016T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0016T,Nome não encontrado
Ácidos graxos saturados,g,"0,91","0,19","0,11",BRC0016T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,41","0,30","0,17",BRC0016T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,81","0,59","0,34",BRC0016T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0016T,Nome não encontrado
Cálcio,mg,114,"24,0","13,7",BRC0016T,Nome não encontrado
Ferro,mg,"8,80","1,85","1,06",BRC0016T,Nome não encontrado
Sódio,mg,"23,0","4,84","2,76",BRC0016T,Nome não encontrado
Magnésio,mg,133,"28,1","16,0",BRC0016T,Nome não encontrado
Fósforo,mg,345,"72,5","41,4",BRC0016T,Nome não encontrado
Potássio,mg,1113,233,133,BRC0016T,Nome não encontrado
Manganês,mg,"3,53","0,74","0,42",BRC0016T,Nome não encontrado
Zinco,mg,"4,04","0,85","0,49",BRC0016T,Nome não encontrado
Cobre,mg,"1,31","0,28","0,16",BRC0016T,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00",BRC0016T,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0016T,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0016T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0016T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,74","0,16","0,09",BRC0016T,Nome não encontrado
Tiamina,mg,"0,53","0,11","0,06",BRC0016T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0016T,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0016T,Nome não encontrado
Vitamina B6,mg,"0,77","0,16","0,09",BRC0016T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0016T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0016T,Nome não encontrado
Equivalente de folato,mcg,539,113,"64,7",BRC0016T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0016T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0016T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0016T,Nome não encontrado
Proteína vegetal,g,"21,0","4,42","2,52",BRC0016T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0016T,Nome não encontrado
