componente,unidade,Valor por 100g,Colher servir cheia (70 g),Colher servir rasa (50 g),codigo_alimento,nome_alimento
Energia,kJ,521,364,260,BRC0773B,Nome não encontrado
Energia,kcal,124,87,62,BRC0773B,Nome não encontrado
Umidade,g,"75,8","53,0","37,9",BRC0773B,Nome não encontrado
Carboidrato total,g,"10,8","7,57","5,41",BRC0773B,Nome não encontrado
Carboidrato disponível,g,"8,60","6,02","4,30",BRC0773B,Nome não encontrado
Proteína,g,"7,10","4,97","3,55",BRC0773B,Nome não encontrado
Lipídios,g,"5,25","3,68","2,63",BRC0773B,Nome não encontrado
Fibra alimentar,g,"2,21","1,55","1,11",BRC0773B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0773B,Nome não encontrado
Cinzas,g,"1,09","0,76","0,55",BRC0773B,Nome não encontrado
Colesterol,mg,"13,3","9,28","6,63",BRC0773B,Nome não encontrado
Ácidos graxos saturados,g,"1,79","1,25","0,89",BRC0773B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,85","1,30","0,93",BRC0773B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,41","0,99","0,71",BRC0773B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,01",BRC0773B,Nome não encontrado
Cálcio,mg,"13,0","9,09","6,49",BRC0773B,Nome não encontrado
Ferro,mg,"0,85","0,59","0,42",BRC0773B,Nome não encontrado
Sódio,mg,221,154,110,BRC0773B,Nome não encontrado
Magnésio,mg,"19,8","13,9","9,90",BRC0773B,Nome não encontrado
Fósforo,mg,"81,1","56,8","40,5",BRC0773B,Nome não encontrado
Potássio,mg,164,115,"82,4",BRC0773B,Nome não encontrado
Manganês,mg,"0,07","0,05","0,03",BRC0773B,Nome não encontrado
Zinco,mg,"0,31","0,22","0,16",BRC0773B,Nome não encontrado
Cobre,mg,"0,04","0,03","0,02",BRC0773B,Nome não encontrado
Selênio,mcg,"2,87","2,01","1,43",BRC0773B,Nome não encontrado
Vitamina A (RE),mcg,381,267,190,BRC0773B,Nome não encontrado
Vitamina A (RAE),mcg,218,153,109,BRC0773B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0773B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,12","0,79","0,56",BRC0773B,Nome não encontrado
Tiamina,mg,"0,05","0,04","0,03",BRC0773B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0773B,Nome não encontrado
Niacina,mg,"1,64","1,15","0,82",BRC0773B,Nome não encontrado
Vitamina B6,mg,"0,04","0,03","0,02",BRC0773B,Nome não encontrado
Vitamina B12,mcg,"0,05","0,04","0,03",BRC0773B,Nome não encontrado
Vitamina C,mg,"12,2","8,55","6,11",BRC0773B,Nome não encontrado
Equivalente de folato,mcg,"9,20","6,44","4,60",BRC0773B,Nome não encontrado
Sal de adição,g,"0,47","0,33","0,24",BRC0773B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0773B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0773B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0773B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0773B,Nome não encontrado
