componente,unidade,Valor por 100g,Colher café cheia (3.5 g),Colher café rasa (2 g),Colher chá cheia (8 g),Colher chá rasa (3 g),Colher sobremesa cheia (21 g),Colher sobremesa rasa (11 g),Colher sopa cheia (22 g),Colher sopa rasa (17 g),codigo_alimento,nome_alimento
Energia,kJ,922,32,18,73,27,193,101,202,156,BRC0033D,Nome não encontrado
Energia,kcal,223,7,4,17,6,46,24,49,37,BRC0033D,Nome não encontrado
Umidade,g,"67,3","2,36","1,35","5,38","2,02","14,1","7,40","14,8","11,4",BRC0033D,Nome não encontrado
Carboidrato total,g,"2,73","0,10","0,05","0,22","0,08","0,57","0,30","0,60","0,46",BRC0033D,Nome não encontrado
Carboidrato disponível,g,"2,73","0,10","0,05","0,22","0,08","0,57","0,30","0,60","0,46",BRC0033D,Nome não encontrado
Proteína,g,"7,66","0,27","0,15","0,61","0,23","1,61","0,84","1,69","1,30",BRC0033D,Nome não encontrado
Lipídios,g,"20,2","0,71","0,40","1,61","0,60","4,23","2,22","4,43","3,43",BRC0033D,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0033D,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0033D,Nome não encontrado
Cinzas,g,"2,17","0,08","0,04","0,17","0,07","0,46","0,24","0,48","0,37",BRC0033D,Nome não encontrado
Colesterol,mg,"47,4","1,66","0,95","3,80","1,42","9,96","5,22","10,4","8,06",BRC0033D,Nome não encontrado
Ácidos graxos saturados,g,"6,39","0,22","0,13","0,51","0,19","1,34","0,70","1,41","1,09",BRC0033D,Nome não encontrado
Ácidos graxos monoinsaturados,g,"8,26","0,29","0,17","0,66","0,25","1,73","0,91","1,82","1,40",BRC0033D,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,42","0,15","0,09","0,35","0,13","0,93","0,49","0,97","0,75",BRC0033D,Nome não encontrado
Ácidos graxos trans,g,,,,,,,,,,BRC0033D,Nome não encontrado
Cálcio,mg,"18,4","0,64","0,37","1,47","0,55","3,86","2,02","4,04","3,12",BRC0033D,Nome não encontrado
Ferro,mg,"1,00","0,03","0,02","0,08","0,03","0,21","0,11","0,22","0,17",BRC0033D,Nome não encontrado
Sódio,mg,828,"29,0","16,6","66,3","24,9",173,"91,1",182,140,BRC0033D,Nome não encontrado
Magnésio,mg,"13,8","0,48","0,28","1,10","0,41","2,89","1,51","3,03","2,34",BRC0033D,Nome não encontrado
Fósforo,mg,102,"3,57","2,04","8,17","3,06","21,4","11,2","22,5","17,4",BRC0033D,Nome não encontrado
Potássio,mg,121,"4,26","2,43","9,73","3,65","25,5","13,4","26,8","20,7",BRC0033D,Nome não encontrado
Manganês,mg,,,,,,,,,,BRC0033D,Nome não encontrado
Zinco,mg,"1,32","0,05","0,03","0,11","0,04","0,28","0,15","0,29","0,22",BRC0033D,Nome não encontrado
Cobre,mg,,,,,,,,,,BRC0033D,Nome não encontrado
Selênio,mcg,,,,,,,,,,BRC0033D,Nome não encontrado
Vitamina A (RE),mcg,,,,,,,,,,BRC0033D,Nome não encontrado
Vitamina A (RAE),mcg,"34,4","1,20","0,69","2,75","1,03","7,23","3,79","7,57","5,85",BRC0033D,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0033D,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0033D,Nome não encontrado
Tiamina,mg,"0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0033D,Nome não encontrado
Riboflavina,mg,"0,13","0,00","0,00","0,01","0,00","0,03","0,01","0,03","0,02",BRC0033D,Nome não encontrado
Niacina,mg,"3,15","0,11","0,06","0,25","0,09","0,66","0,35","0,69","0,54",BRC0033D,Nome não encontrado
Vitamina B6,mg,"0,17","0,01","0,00","0,01","0,01","0,04","0,02","0,04","0,03",BRC0033D,Nome não encontrado
Vitamina B12,mcg,"0,15","0,01","0,00","0,01","0,00","0,03","0,02","0,03","0,03",BRC0033D,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0033D,Nome não encontrado
Equivalente de folato,mcg,"3,44","0,12","0,07","0,28","0,10","0,72","0,38","0,76","0,59",BRC0033D,Nome não encontrado
Sal de adição,g,,,,,,,,,,BRC0033D,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0033D,Nome não encontrado
Gordura de adição,g,,,,,,,,,,BRC0033D,Nome não encontrado
Proteína vegetal,g,,,,,,,,,,BRC0033D,Nome não encontrado
Proteína animal,g,,,,,,,,,,BRC0033D,Nome não encontrado
