componente,unidade,Valor por 100g,Concha rasa (70 g),codigo_alimento,nome_alimento
Energia,kJ,722,505,BRC0199T,Nome não encontrado
Energia,kcal,172,120,BRC0199T,Nome não encontrado
Umidade,g,"61,4","43,0",BRC0199T,Nome não encontrado
Carboidrato total,g,"19,5","13,7",BRC0199T,Nome não encontrado
Carboidrato disponível,g,"15,9","11,2",BRC0199T,Nome não encontrado
Proteína,g,"10,1","7,09",BRC0199T,Nome não encontrado
Lipídios,g,"6,76","4,73",BRC0199T,Nome não encontrado
Fibra alimentar,g,"3,56","2,49",BRC0199T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0199T,Nome não encontrado
Cinzas,g,"2,23","1,56",BRC0199T,Nome não encontrado
Colesterol,mg,"67,6","47,3",BRC0199T,Nome não encontrado
Ácidos graxos saturados,g,"2,15","1,51",BRC0199T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,85","2,00",BRC0199T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,52","1,06",BRC0199T,Nome não encontrado
Ácidos graxos trans,g,,,BRC0199T,Nome não encontrado
Cálcio,mg,"41,1","28,8",BRC0199T,Nome não encontrado
Ferro,mg,"2,15","1,51",BRC0199T,Nome não encontrado
Sódio,mg,543,380,BRC0199T,Nome não encontrado
Magnésio,mg,"35,9","25,2",BRC0199T,Nome não encontrado
Fósforo,mg,198,138,BRC0199T,Nome não encontrado
Potássio,mg,347,243,BRC0199T,Nome não encontrado
Manganês,mg,"0,38","0,27",BRC0199T,Nome não encontrado
Zinco,mg,"1,44","1,01",BRC0199T,Nome não encontrado
Cobre,mg,"0,22","0,15",BRC0199T,Nome não encontrado
Selênio,mcg,,,BRC0199T,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0199T,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0199T,Nome não encontrado
Vitamina D,mcg,,,BRC0199T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0199T,Nome não encontrado
Tiamina,mg,traços,traços,BRC0199T,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0199T,Nome não encontrado
Niacina,mg,"1,43","1,00",BRC0199T,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0199T,Nome não encontrado
Vitamina B12,mcg,,,BRC0199T,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0199T,Nome não encontrado
Equivalente de folato,mcg,,,BRC0199T,Nome não encontrado
Sal de adição,g,"0,45","0,32",BRC0199T,Nome não encontrado
Açúcar de adição,g,,,BRC0199T,Nome não encontrado
Gordura de adição,g,-,-,BRC0199T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0199T,Nome não encontrado
Proteína animal,g,-,-,BRC0199T,Nome não encontrado
