componente,unidade,Valor por 100g,Porção Média (110 g),codigo_alimento,nome_alimento
Energia,kJ,572,629,BRC0260E,Nome não encontrado
Energia,kcal,135,148,BRC0260E,Nome não encontrado
Umidade,g,"67,5","74,3",BRC0260E,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0260E,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0260E,Nome não encontrado
Proteína,g,"28,8","31,7",BRC0260E,Nome não encontrado
Lipídios,g,"2,23","2,45",BRC0260E,Nome não encontrado
Fibra alimentar,g,,,BRC0260E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0260E,Nome não encontrado
Cinzas,g,"1,47","1,62",BRC0260E,Nome não encontrado
Colesterol,mg,137,150,BRC0260E,Nome não encontrado
Ácidos graxos saturados,g,"0,41","0,45",BRC0260E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,51","0,56",BRC0260E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,22","1,34",BRC0260E,Nome não encontrado
Ácidos graxos trans,g,,,BRC0260E,Nome não encontrado
Cálcio,mg,"64,2","70,6",BRC0260E,Nome não encontrado
Ferro,mg,"0,86","0,94",BRC0260E,Nome não encontrado
Sódio,mg,,,BRC0260E,Nome não encontrado
Magnésio,mg,"21,4","23,5",BRC0260E,Nome não encontrado
Fósforo,mg,208,229,BRC0260E,Nome não encontrado
Potássio,mg,114,125,BRC0260E,Nome não encontrado
Manganês,mg,,,BRC0260E,Nome não encontrado
Zinco,mg,"0,96","1,06",BRC0260E,Nome não encontrado
Cobre,mg,"0,17","0,18",BRC0260E,Nome não encontrado
Selênio,mcg,,,BRC0260E,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0260E,Nome não encontrado
Vitamina A (RAE),mcg,"11,7","12,9",BRC0260E,Nome não encontrado
Vitamina D,mcg,"0,06","0,06",BRC0260E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0260E,Nome não encontrado
Tiamina,mg,"0,10","0,11",BRC0260E,Nome não encontrado
Riboflavina,mg,"0,09","0,09",BRC0260E,Nome não encontrado
Niacina,mg,"1,89","2,08",BRC0260E,Nome não encontrado
Vitamina B6,mg,"0,13","0,14",BRC0260E,Nome não encontrado
Vitamina B12,mcg,"0,77","0,85",BRC0260E,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0260E,Nome não encontrado
Equivalente de folato,mcg,"21,4","23,5",BRC0260E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0260E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0260E,Nome não encontrado
Gordura de adição,g,,,BRC0260E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0260E,Nome não encontrado
Proteína animal,g,"28,8","31,7",BRC0260E,Nome não encontrado
