componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,113,270,186,225,BRC0055H,Nome não encontrado
Energia,kcal,27,63,43,53,BRC0055H,Nome não encontrado
Umidade,g,"93,4",224,154,186,BRC0055H,Nome não encontrado
Carboidrato total,g,"6,50","15,6","10,7","13,0",BRC0055H,Nome não encontrado
Carboidrato disponível,g,"6,50","15,6","10,7","13,0",BRC0055H,Nome não encontrado
Proteína,g,"0,02","0,05","0,03","0,04",BRC0055H,Nome não encontrado
Lipídios,g,"0,05","0,12","0,08","0,10",BRC0055H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0055H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0055H,Nome não encontrado
Cinzas,g,"0,03","0,07","0,05","0,06",BRC0055H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0055H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0055H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0055H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0055H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0055H,Nome não encontrado
Cálcio,mg,"3,36","8,06","5,54","6,72",BRC0055H,Nome não encontrado
Ferro,mg,"0,13","0,31","0,21","0,26",BRC0055H,Nome não encontrado
Sódio,mg,"0,75","1,79","1,23","1,49",BRC0055H,Nome não encontrado
Magnésio,mg,"3,55","8,51","5,85","7,09",BRC0055H,Nome não encontrado
Fósforo,mg,"0,76","1,83","1,26","1,53",BRC0055H,Nome não encontrado
Potássio,mg,"15,6","37,5","25,8","31,3",BRC0055H,Nome não encontrado
Manganês,mg,"0,38","0,91","0,63","0,76",BRC0055H,Nome não encontrado
Zinco,mg,"0,01","0,02","0,02","0,02",BRC0055H,Nome não encontrado
Cobre,mg,"0,00","0,01","0,00","0,01",BRC0055H,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00",BRC0055H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0055H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0055H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0055H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0055H,Nome não encontrado
Tiamina,mg,"0,84","2,02","1,39","1,68",BRC0055H,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00",BRC0055H,Nome não encontrado
Niacina,mg,traços,traços,traços,,BRC0055H,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,,BRC0055H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0055H,Nome não encontrado
Vitamina C,mg,traços,traços,traços,,BRC0055H,Nome não encontrado
Equivalente de folato,mcg,"0,93","2,23","1,54","1,86",BRC0055H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0055H,Nome não encontrado
Açúcar de adição,g,"6,00","14,4","9,90","12,0",BRC0055H,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0055H,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0055H,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0055H,Nome não encontrado
