componente,unidade,Valor por 100g,Colher servir cheia (80 g),Colher sopa cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,517,413,232,BRC1051B,Nome não encontrado
Energia,kcal,123,98,55,BRC1051B,Nome não encontrado
Umidade,g,"73,5","58,8","33,1",BRC1051B,Nome não encontrado
Carboidrato total,g,"20,2","16,2","9,10",BRC1051B,Nome não encontrado
Carboidrato disponível,g,"17,9","14,3","8,05",BRC1051B,Nome não encontrado
Proteína,g,"1,04","0,83","0,47",BRC1051B,Nome não encontrado
Lipídios,g,"4,78","3,82","2,15",BRC1051B,Nome não encontrado
Fibra alimentar,g,"2,33","1,86","1,05",BRC1051B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1051B,Nome não encontrado
Cinzas,g,"0,47","0,37","0,21",BRC1051B,Nome não encontrado
Colesterol,mg,"11,9","9,55","5,37",BRC1051B,Nome não encontrado
Ácidos graxos saturados,g,"2,81","2,25","1,26",BRC1051B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,19","0,95","0,53",BRC1051B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,12","0,07",BRC1051B,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,11","0,06",BRC1051B,Nome não encontrado
Cálcio,mg,"29,2","23,4","13,1",BRC1051B,Nome não encontrado
Ferro,mg,"0,21","0,17","0,09",BRC1051B,Nome não encontrado
Sódio,mg,"9,45","7,56","4,25",BRC1051B,Nome não encontrado
Magnésio,mg,"13,0","10,4","5,83",BRC1051B,Nome não encontrado
Fósforo,mg,"25,0","20,0","11,2",BRC1051B,Nome não encontrado
Potássio,mg,172,137,"77,4",BRC1051B,Nome não encontrado
Manganês,mg,"0,15","0,12","0,07",BRC1051B,Nome não encontrado
Zinco,mg,"0,17","0,14","0,08",BRC1051B,Nome não encontrado
Cobre,mg,"0,07","0,05","0,03",BRC1051B,Nome não encontrado
Selênio,mcg,"0,70","0,56","0,32",BRC1051B,Nome não encontrado
Vitamina A (RE),mcg,1251,1001,563,BRC1051B,Nome não encontrado
Vitamina A (RAE),mcg,653,522,294,BRC1051B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC1051B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,10","0,88","0,50",BRC1051B,Nome não encontrado
Tiamina,mg,"0,09","0,07","0,04",BRC1051B,Nome não encontrado
Riboflavina,mg,"0,02","0,02","0,01",BRC1051B,Nome não encontrado
Niacina,mg,"2,89","2,31","1,30",BRC1051B,Nome não encontrado
Vitamina B6,mg,"0,05","0,04","0,02",BRC1051B,Nome não encontrado
Vitamina B12,mcg,"0,04","0,04","0,02",BRC1051B,Nome não encontrado
Vitamina C,mg,"25,4","20,3","11,4",BRC1051B,Nome não encontrado
Equivalente de folato,mcg,"6,31","5,05","2,84",BRC1051B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC1051B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1051B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1051B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1051B,Nome não encontrado
Proteína animal,g,-,-,-,BRC1051B,Nome não encontrado
