componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,555,333,249,BRC0121E,Nome não encontrado
Energia,kcal,132,79,59,BRC0121E,Nome não encontrado
Umidade,g,"72,5","43,5","32,6",BRC0121E,Nome não encontrado
Carboidrato total,g,"2,83","1,70","1,28",BRC0121E,Nome não encontrado
Carboidrato disponível,g,"1,47","0,88","0,66",BRC0121E,Nome não encontrado
Proteína,g,"18,6","11,2","8,39",BRC0121E,Nome não encontrado
Lipídios,g,"4,56","2,74","2,05",BRC0121E,Nome não encontrado
Fibra alimentar,g,"1,37","0,82","0,62",BRC0121E,Nome não encontrado
Álcool,g,"0,01","0,01","0,00",BRC0121E,Nome não encontrado
Cinzas,g,"1,45","0,87","0,65",BRC0121E,Nome não encontrado
Colesterol,mg,"58,3","35,0","26,2",BRC0121E,Nome não encontrado
Ácidos graxos saturados,g,"1,59","0,95","0,72",BRC0121E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,50","0,90","0,68",BRC0121E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,24","0,74","0,56",BRC0121E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC0121E,Nome não encontrado
Cálcio,mg,"10,8","6,45","4,84",BRC0121E,Nome não encontrado
Ferro,mg,"0,88","0,53","0,39",BRC0121E,Nome não encontrado
Sódio,mg,195,117,"87,9",BRC0121E,Nome não encontrado
Magnésio,mg,"17,5","10,5","7,89",BRC0121E,Nome não encontrado
Fósforo,mg,152,"91,3","68,5",BRC0121E,Nome não encontrado
Potássio,mg,220,132,"99,0",BRC0121E,Nome não encontrado
Manganês,mg,"0,03","0,02","0,02",BRC0121E,Nome não encontrado
Zinco,mg,"0,48","0,29","0,22",BRC0121E,Nome não encontrado
Cobre,mg,"0,04","0,03","0,02",BRC0121E,Nome não encontrado
Selênio,mcg,"23,9","14,4","10,8",BRC0121E,Nome não encontrado
Vitamina A (RE),mcg,348,208,156,BRC0121E,Nome não encontrado
Vitamina A (RAE),mcg,197,118,"88,9",BRC0121E,Nome não encontrado
Vitamina D,mcg,"0,07","0,04","0,03",BRC0121E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,81","0,48","0,36",BRC0121E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01",BRC0121E,Nome não encontrado
Riboflavina,mg,"0,03","0,02","0,01",BRC0121E,Nome não encontrado
Niacina,mg,"7,08","4,25","3,19",BRC0121E,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01",BRC0121E,Nome não encontrado
Vitamina B12,mcg,"0,80","0,48","0,36",BRC0121E,Nome não encontrado
Vitamina C,mg,"8,95","5,37","4,03",BRC0121E,Nome não encontrado
Equivalente de folato,mcg,"9,49","5,69","4,27",BRC0121E,Nome não encontrado
Sal de adição,g,"0,45","0,27","0,20",BRC0121E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0121E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0121E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0121E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0121E,Nome não encontrado
