componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,376,752,BRC0107H,Nome não encontrado
Energia,kcal,89,177,BRC0107H,Nome não encontrado
Umidade,g,"77,7",155,BRC0107H,Nome não encontrado
Carboidrato total,g,"18,1","36,1",BRC0107H,Nome não encontrado
Carboidrato disponível,g,"17,9","35,8",BRC0107H,Nome não encontrado
Proteína,g,"2,79","5,59",BRC0107H,Nome não encontrado
Lipídios,g,"0,63","1,26",BRC0107H,Nome não encontrado
Fibra alimentar,g,"0,16","0,33",BRC0107H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0107H,Nome não encontrado
Cinzas,g,"0,77","1,55",BRC0107H,Nome não encontrado
Colesterol,mg,"2,47","4,94",BRC0107H,Nome não encontrado
Ácidos graxos saturados,g,"0,22","0,43",BRC0107H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,11","0,23",BRC0107H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,03","0,07",BRC0107H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0107H,Nome não encontrado
Cálcio,mg,104,208,BRC0107H,Nome não encontrado
Ferro,mg,"1,48","2,95",BRC0107H,Nome não encontrado
Sódio,mg,"36,9","73,8",BRC0107H,Nome não encontrado
Magnésio,mg,"57,3",114,BRC0107H,Nome não encontrado
Fósforo,mg,128,256,BRC0107H,Nome não encontrado
Potássio,mg,257,515,BRC0107H,Nome não encontrado
Manganês,mg,"0,13","0,26",BRC0107H,Nome não encontrado
Zinco,mg,"0,92","1,84",BRC0107H,Nome não encontrado
Cobre,mg,"0,02","0,04",BRC0107H,Nome não encontrado
Selênio,mcg,,,BRC0107H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0107H,Nome não encontrado
Vitamina A (RAE),mcg,"5,92","11,8",BRC0107H,Nome não encontrado
Vitamina D,mcg,"0,77","1,54",BRC0107H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,03","0,06",BRC0107H,Nome não encontrado
Tiamina,mg,"0,03","0,07",BRC0107H,Nome não encontrado
Riboflavina,mg,"0,20","0,40",BRC0107H,Nome não encontrado
Niacina,mg,"1,24","2,47",BRC0107H,Nome não encontrado
Vitamina B6,mg,"0,01","0,02",BRC0107H,Nome não encontrado
Vitamina B12,mcg,"0,36","0,72",BRC0107H,Nome não encontrado
Vitamina C,mg,traços,,BRC0107H,Nome não encontrado
Equivalente de folato,mcg,"6,69","13,4",BRC0107H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0107H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0107H,Nome não encontrado
Gordura de adição,g,-,-,BRC0107H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0107H,Nome não encontrado
Proteína animal,g,-,-,BRC0107H,Nome não encontrado
