componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,580,348,232,BRC0806A,Nome não encontrado
Energia,kcal,137,82,54,BRC0806A,Nome não encontrado
Umidade,g,"66,4","39,8","26,6",BRC0806A,Nome não encontrado
Carboidrato total,g,"29,6","17,7","11,8",BRC0806A,Nome não encontrado
Carboidrato disponível,g,"28,7","17,2","11,5",BRC0806A,Nome não encontrado
Proteína,g,"2,35","1,41","0,94",BRC0806A,Nome não encontrado
Lipídios,g,"1,22","0,73","0,49",BRC0806A,Nome não encontrado
Fibra alimentar,g,"0,85","0,51","0,34",BRC0806A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0806A,Nome não encontrado
Cinzas,g,"0,44","0,26","0,18",BRC0806A,Nome não encontrado
Colesterol,mg,"3,71","2,23","1,48",BRC0806A,Nome não encontrado
Ácidos graxos saturados,g,"0,70","0,42","0,28",BRC0806A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,31","0,19","0,12",BRC0806A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,07","0,04","0,03",BRC0806A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0806A,Nome não encontrado
Cálcio,mg,"42,3","25,4","16,9",BRC0806A,Nome não encontrado
Ferro,mg,"0,45","0,27","0,18",BRC0806A,Nome não encontrado
Sódio,mg,"21,3","12,8","8,53",BRC0806A,Nome não encontrado
Magnésio,mg,"20,2","12,1","8,07",BRC0806A,Nome não encontrado
Fósforo,mg,"37,8","22,7","15,1",BRC0806A,Nome não encontrado
Potássio,mg,"68,7","41,2","27,5",BRC0806A,Nome não encontrado
Manganês,mg,"0,86","0,52","0,35",BRC0806A,Nome não encontrado
Zinco,mg,"0,45","0,27","0,18",BRC0806A,Nome não encontrado
Cobre,mg,"0,10","0,06","0,04",BRC0806A,Nome não encontrado
Selênio,mcg,"2,47","1,48","0,99",BRC0806A,Nome não encontrado
Vitamina A (RE),mcg,"14,9","8,95","5,97",BRC0806A,Nome não encontrado
Vitamina A (RAE),mcg,"14,7","8,81","5,87",BRC0806A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0806A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,03","0,02",BRC0806A,Nome não encontrado
Tiamina,mg,"0,01","0,01","0,00",BRC0806A,Nome não encontrado
Riboflavina,mg,"0,07","0,04","0,03",BRC0806A,Nome não encontrado
Niacina,mg,"0,44","0,26","0,17",BRC0806A,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00",BRC0806A,Nome não encontrado
Vitamina B12,mcg,"0,10","0,06","0,04",BRC0806A,Nome não encontrado
Vitamina C,mg,"0,01","0,01","0,00",BRC0806A,Nome não encontrado
Equivalente de folato,mcg,"2,84","1,70","1,13",BRC0806A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0806A,Nome não encontrado
Açúcar de adição,g,"9,75","5,85","3,90",BRC0806A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0806A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0806A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0806A,Nome não encontrado
