componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,672,168,BRC0059K,Nome não encontrado
Energia,kcal,160,39,BRC0059K,Nome não encontrado
Umidade,g,"62,7","15,7",BRC0059K,Nome não encontrado
Carboidrato total,g,"28,9","7,22",BRC0059K,Nome não encontrado
Carboidrato disponível,g,"25,2","6,31",BRC0059K,Nome não encontrado
Proteína,g,"2,81","0,70",BRC0059K,Nome não encontrado
Lipídios,g,"4,50","1,13",BRC0059K,Nome não encontrado
Fibra alimentar,g,"3,64","0,91",BRC0059K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0059K,Nome não encontrado
Cinzas,g,"1,17","0,29",BRC0059K,Nome não encontrado
Colesterol,mg,"16,0","3,99",BRC0059K,Nome não encontrado
Ácidos graxos saturados,g,"2,66","0,66",BRC0059K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,34","0,33",BRC0059K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,26","0,07",BRC0059K,Nome não encontrado
Ácidos graxos trans,g,,,BRC0059K,Nome não encontrado
Cálcio,mg,144,"36,1",BRC0059K,Nome não encontrado
Ferro,mg,"0,41","0,10",BRC0059K,Nome não encontrado
Sódio,mg,401,100,BRC0059K,Nome não encontrado
Magnésio,mg,"25,5","6,36",BRC0059K,Nome não encontrado
Fósforo,mg,338,"84,5",BRC0059K,Nome não encontrado
Potássio,mg,234,"58,7",BRC0059K,Nome não encontrado
Manganês,mg,,,BRC0059K,Nome não encontrado
Zinco,mg,"0,59","0,15",BRC0059K,Nome não encontrado
Cobre,mg,,,BRC0059K,Nome não encontrado
Selênio,mcg,,,BRC0059K,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0059K,Nome não encontrado
Vitamina A (RAE),mcg,"37,7","9,44",BRC0059K,Nome não encontrado
Vitamina D,mcg,,,BRC0059K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0059K,Nome não encontrado
Tiamina,mg,"0,05","0,01",BRC0059K,Nome não encontrado
Riboflavina,mg,"0,20","0,05",BRC0059K,Nome não encontrado
Niacina,mg,"0,14","0,03",BRC0059K,Nome não encontrado
Vitamina B6,mg,"0,05","0,01",BRC0059K,Nome não encontrado
Vitamina B12,mcg,"0,42","0,11",BRC0059K,Nome não encontrado
Vitamina C,mg,"1,27","0,32",BRC0059K,Nome não encontrado
Equivalente de folato,mcg,"5,66","1,41",BRC0059K,Nome não encontrado
Sal de adição,g,,,BRC0059K,Nome não encontrado
Açúcar de adição,g,,,BRC0059K,Nome não encontrado
Gordura de adição,g,,,BRC0059K,Nome não encontrado
Proteína vegetal,g,,,BRC0059K,Nome não encontrado
Proteína animal,g,,,BRC0059K,Nome não encontrado
