componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,738,442,295,BRC0881B,Nome não encontrado
Energia,kcal,176,105,70,BRC0881B,Nome não encontrado
Umidade,g,"57,4","34,4","22,9",BRC0881B,Nome não encontrado
Carboidrato total,g,"33,3","20,0","13,3",BRC0881B,Nome não encontrado
Carboidrato disponível,g,"29,6","17,8","11,8",BRC0881B,Nome não encontrado
Proteína,g,"2,11","1,27","0,84",BRC0881B,Nome não encontrado
Lipídios,g,"4,58","2,75","1,83",BRC0881B,Nome não encontrado
Fibra alimentar,g,"3,73","2,24","1,49",BRC0881B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0881B,Nome não encontrado
Cinzas,g,"2,61","1,57","1,04",BRC0881B,Nome não encontrado
Colesterol,mg,"10,7","6,42","4,28",BRC0881B,Nome não encontrado
Ácidos graxos saturados,g,"2,67","1,60","1,07",BRC0881B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,10","0,66","0,44",BRC0881B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,09","0,06",BRC0881B,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,08","0,06",BRC0881B,Nome não encontrado
Cálcio,mg,"36,8","22,1","14,7",BRC0881B,Nome não encontrado
Ferro,mg,"0,51","0,31","0,21",BRC0881B,Nome não encontrado
Sódio,mg,"11,2","6,71","4,47",BRC0881B,Nome não encontrado
Magnésio,mg,"30,6","18,4","12,2",BRC0881B,Nome não encontrado
Fósforo,mg,"46,3","27,8","18,5",BRC0881B,Nome não encontrado
Potássio,mg,427,256,170,BRC0881B,Nome não encontrado
Manganês,mg,"0,25","0,15","0,10",BRC0881B,Nome não encontrado
Zinco,mg,"0,26","0,15","0,10",BRC0881B,Nome não encontrado
Cobre,mg,"0,14","0,09","0,06",BRC0881B,Nome não encontrado
Selênio,mcg,"1,11","0,66","0,44",BRC0881B,Nome não encontrado
Vitamina A (RE),mcg,798,479,319,BRC0881B,Nome não encontrado
Vitamina A (RAE),mcg,424,254,169,BRC0881B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0881B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,51","0,91","0,60",BRC0881B,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02",BRC0881B,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0881B,Nome não encontrado
Niacina,mg,"0,01","0,00","0,00",BRC0881B,Nome não encontrado
Vitamina B6,mg,"0,12","0,07","0,05",BRC0881B,Nome não encontrado
Vitamina B12,mcg,"0,01","0,01","0,00",BRC0881B,Nome não encontrado
Vitamina C,mg,"16,5","9,93","6,62",BRC0881B,Nome não encontrado
Equivalente de folato,mcg,"14,4","8,64","5,76",BRC0881B,Nome não encontrado
Sal de adição,g,"0,47","0,28","0,19",BRC0881B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0881B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0881B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0881B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0881B,Nome não encontrado
