componente,unidade,Valor por 100g,Concha rasa (60 g),codigo_alimento,nome_alimento
Energia,kJ,534,320,BRC0027F,Nome não encontrado
Energia,kcal,127,76,BRC0027F,Nome não encontrado
Umidade,g,"74,1","44,5",BRC0027F,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0027F,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0027F,Nome não encontrado
Proteína,g,"21,6","13,0",BRC0027F,Nome não encontrado
Lipídios,g,"4,50","2,70",BRC0027F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0027F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0027F,Nome não encontrado
Cinzas,g,"0,32","0,19",BRC0027F,Nome não encontrado
Colesterol,mg,245,147,BRC0027F,Nome não encontrado
Ácidos graxos saturados,g,"2,40","1,44",BRC0027F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,40","0,84",BRC0027F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,06",BRC0027F,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,08",BRC0027F,Nome não encontrado
Cálcio,mg,"13,2","7,93",BRC0027F,Nome não encontrado
Ferro,mg,"0,58","0,35",BRC0027F,Nome não encontrado
Sódio,mg,"38,2","22,9",BRC0027F,Nome não encontrado
Magnésio,mg,"7,41","4,45",BRC0027F,Nome não encontrado
Fósforo,mg,"62,6","37,6",BRC0027F,Nome não encontrado
Potássio,mg,"69,8","41,9",BRC0027F,Nome não encontrado
Manganês,mg,"0,01","0,01",BRC0027F,Nome não encontrado
Zinco,mg,"2,49","1,50",BRC0027F,Nome não encontrado
Cobre,mg,"0,05","0,03",BRC0027F,Nome não encontrado
Selênio,mcg,"40,3","24,2",BRC0027F,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0027F,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0027F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0027F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,03",BRC0027F,Nome não encontrado
Tiamina,mg,traços,traços,BRC0027F,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0027F,Nome não encontrado
Niacina,mg,"2,18","1,31",BRC0027F,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0027F,Nome não encontrado
Vitamina B12,mcg,"0,48","0,29",BRC0027F,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0027F,Nome não encontrado
Equivalente de folato,mcg,"3,00","1,80",BRC0027F,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0027F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0027F,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0027F,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0027F,Nome não encontrado
Proteína animal,g,"21,6","13,0",BRC0027F,Nome não encontrado
