componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (25 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,623,311,155,685,560,BRC1045A,Nome não encontrado
Energia,kcal,148,74,37,163,133,BRC1045A,Nome não encontrado
Umidade,g,"68,5","34,2","17,1","75,3","61,6",BRC1045A,Nome não encontrado
Carboidrato total,g,"18,1","9,07","4,54","20,0","16,3",BRC1045A,Nome não encontrado
Carboidrato disponível,g,"17,1","8,54","4,27","18,8","15,4",BRC1045A,Nome não encontrado
Proteína,g,"6,26","3,13","1,57","6,89","5,64",BRC1045A,Nome não encontrado
Lipídios,g,"5,87","2,93","1,47","6,45","5,28",BRC1045A,Nome não encontrado
Fibra alimentar,g,"1,07","0,53","0,27","1,17","0,96",BRC1045A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC1045A,Nome não encontrado
Cinzas,g,"1,24","0,62","0,31","1,36","1,11",BRC1045A,Nome não encontrado
Colesterol,mg,"18,6","9,30","4,65","20,5","16,7",BRC1045A,Nome não encontrado
Ácidos graxos saturados,g,"2,72","1,36","0,68","2,99","2,45",BRC1045A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,35","0,67","0,34","1,48","1,21",BRC1045A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,76","0,38","0,19","0,84","0,69",BRC1045A,Nome não encontrado
Ácidos graxos trans,g,"0,16","0,08","0,04","0,17","0,14",BRC1045A,Nome não encontrado
Cálcio,mg,"91,3","45,7","22,8",100,"82,2",BRC1045A,Nome não encontrado
Ferro,mg,"0,43","0,22","0,11","0,48","0,39",BRC1045A,Nome não encontrado
Sódio,mg,318,159,"79,6",350,286,BRC1045A,Nome não encontrado
Magnésio,mg,"7,56","3,78","1,89","8,31","6,80",BRC1045A,Nome não encontrado
Fósforo,mg,112,"56,5","28,2",124,101,BRC1045A,Nome não encontrado
Potássio,mg,105,"52,8","26,4",116,"95,0",BRC1045A,Nome não encontrado
Manganês,mg,"0,16","0,08","0,04","0,17","0,14",BRC1045A,Nome não encontrado
Zinco,mg,"0,72","0,36","0,18","0,79","0,65",BRC1045A,Nome não encontrado
Cobre,mg,"0,06","0,03","0,02","0,07","0,06",BRC1045A,Nome não encontrado
Selênio,mcg,"3,07","1,54","0,77","3,38","2,77",BRC1045A,Nome não encontrado
Vitamina A (RE),mcg,"42,2","21,1","10,5","46,4","38,0",BRC1045A,Nome não encontrado
Vitamina A (RAE),mcg,"31,3","15,6","7,82","34,4","28,1",BRC1045A,Nome não encontrado
Vitamina D,mcg,"0,11","0,05","0,03","0,12","0,10",BRC1045A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,31","0,15","0,08","0,34","0,28",BRC1045A,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,01","0,05","0,04",BRC1045A,Nome não encontrado
Riboflavina,mg,"0,06","0,03","0,02","0,07","0,06",BRC1045A,Nome não encontrado
Niacina,mg,"0,76","0,38","0,19","0,83","0,68",BRC1045A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,00","0,02","0,02",BRC1045A,Nome não encontrado
Vitamina B12,mcg,"0,13","0,07","0,03","0,15","0,12",BRC1045A,Nome não encontrado
Vitamina C,mg,"3,06","1,53","0,76","3,36","2,75",BRC1045A,Nome não encontrado
Equivalente de folato,mcg,"43,5","21,7","10,9","47,8","39,1",BRC1045A,Nome não encontrado
Sal de adição,g,"0,30","0,15","0,08","0,33","0,27",BRC1045A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC1045A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC1045A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC1045A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC1045A,Nome não encontrado
