componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,654,392,294,654,BRC0399E,Nome não encontrado
Energia,kcal,157,94,70,156,BRC0399E,Nome não encontrado
Umidade,g,"71,3","42,8","32,1","71,3",BRC0399E,Nome não encontrado
Carboidrato total,g,"0,35","0,21","0,16","0,35",BRC0399E,Nome não encontrado
Carboidrato disponível,g,"0,16","0,09","0,07","0,16",BRC0399E,Nome não encontrado
Proteína,g,"18,0","10,8","8,10","18,0",BRC0399E,Nome não encontrado
Lipídios,g,"9,30","5,58","4,18","9,30",BRC0399E,Nome não encontrado
Fibra alimentar,g,"0,51","0,30","0,23","0,51",BRC0399E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0399E,Nome não encontrado
Cinzas,g,"1,09","0,66","0,49","1,09",BRC0399E,Nome não encontrado
Colesterol,mg,"68,7","41,2","30,9","68,7",BRC0399E,Nome não encontrado
Ácidos graxos saturados,g,"1,72","1,03","0,78","1,72",BRC0399E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,61","2,17","1,62","3,61",BRC0399E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,34","2,00","1,50","3,34",BRC0399E,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,02","0,02","0,04",BRC0399E,Nome não encontrado
Cálcio,mg,"16,9","10,1","7,58","16,9",BRC0399E,Nome não encontrado
Ferro,mg,"0,28","0,17","0,12","0,28",BRC0399E,Nome não encontrado
Sódio,mg,"82,8","49,7","37,3","82,8",BRC0399E,Nome não encontrado
Magnésio,mg,"27,3","16,4","12,3","27,3",BRC0399E,Nome não encontrado
Fósforo,mg,157,"94,2","70,7",157,BRC0399E,Nome não encontrado
Potássio,mg,325,195,146,325,BRC0399E,Nome não encontrado
Manganês,mg,"0,03","0,02","0,02","0,03",BRC0399E,Nome não encontrado
Zinco,mg,"0,32","0,19","0,14","0,32",BRC0399E,Nome não encontrado
Cobre,mg,"0,04","0,02","0,02","0,04",BRC0399E,Nome não encontrado
Selênio,mcg,"35,4","21,2","15,9","35,4",BRC0399E,Nome não encontrado
Vitamina A (RE),mcg,"65,9","39,5","29,7","65,9",BRC0399E,Nome não encontrado
Vitamina A (RAE),mcg,"55,8","33,5","25,1","55,8",BRC0399E,Nome não encontrado
Vitamina D,mcg,"4,08","2,45","1,84","4,08",BRC0399E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,58","0,95","0,71","1,58",BRC0399E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01","0,02",BRC0399E,Nome não encontrado
Riboflavina,mg,"0,06","0,03","0,02","0,06",BRC0399E,Nome não encontrado
Niacina,mg,"3,13","1,88","1,41","3,13",BRC0399E,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01","0,02",BRC0399E,Nome não encontrado
Vitamina B12,mcg,"2,28","1,37","1,03","2,28",BRC0399E,Nome não encontrado
Vitamina C,mg,"9,35","5,61","4,21","9,35",BRC0399E,Nome não encontrado
Equivalente de folato,mcg,"15,9","9,54","7,16","15,9",BRC0399E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0399E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0399E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0399E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0399E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0399E,Nome não encontrado
