componente,unidade,Valor por 100g,Porção Média (40 g),codigo_alimento,nome_alimento
Energia,kJ,168,67,BRC0590B,Nome não encontrado
Energia,kcal,40,16,BRC0590B,Nome não encontrado
Umidade,g,"90,8","36,3",BRC0590B,Nome não encontrado
Carboidrato total,g,"4,97","1,99",BRC0590B,Nome não encontrado
Carboidrato disponível,g,"1,09","0,44",BRC0590B,Nome não encontrado
Proteína,g,"2,84","1,14",BRC0590B,Nome não encontrado
Lipídios,g,"1,89","0,76",BRC0590B,Nome não encontrado
Fibra alimentar,g,"3,88","1,55",BRC0590B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0590B,Nome não encontrado
Cinzas,g,"1,29","0,52",BRC0590B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0590B,Nome não encontrado
Ácidos graxos saturados,g,"0,41","0,16",BRC0590B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,24","0,50",BRC0590B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,23","0,09",BRC0590B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0590B,Nome não encontrado
Cálcio,mg,"48,0","19,2",BRC0590B,Nome não encontrado
Ferro,mg,"1,07","0,43",BRC0590B,Nome não encontrado
Sódio,mg,"7,34","2,94",BRC0590B,Nome não encontrado
Magnésio,mg,"16,1","6,42",BRC0590B,Nome não encontrado
Fósforo,mg,"45,4","18,2",BRC0590B,Nome não encontrado
Potássio,mg,585,234,BRC0590B,Nome não encontrado
Manganês,mg,"0,59","0,23",BRC0590B,Nome não encontrado
Zinco,mg,"0,66","0,26",BRC0590B,Nome não encontrado
Cobre,mg,"0,06","0,02",BRC0590B,Nome não encontrado
Selênio,mcg,"0,35","0,14",BRC0590B,Nome não encontrado
Vitamina A (RE),mcg,620,248,BRC0590B,Nome não encontrado
Vitamina A (RAE),mcg,310,124,BRC0590B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0590B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,63","0,25",BRC0590B,Nome não encontrado
Tiamina,mg,"0,15","0,06",BRC0590B,Nome não encontrado
Riboflavina,mg,"0,14","0,05",BRC0590B,Nome não encontrado
Niacina,mg,"1,20","0,48",BRC0590B,Nome não encontrado
Vitamina B6,mg,"0,13","0,05",BRC0590B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0590B,Nome não encontrado
Vitamina C,mg,"35,7","14,3",BRC0590B,Nome não encontrado
Equivalente de folato,mcg,"63,8","25,5",BRC0590B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0590B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0590B,Nome não encontrado
Gordura de adição,g,-,-,BRC0590B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0590B,Nome não encontrado
Proteína animal,g,-,-,BRC0590B,Nome não encontrado
