componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,20,39,BRC0072H,Nome não encontrado
Energia,kcal,5,9,BRC0072H,Nome não encontrado
Umidade,g,"99,3",198,BRC0072H,Nome não encontrado
Carboidrato total,g,"0,88","1,75",BRC0072H,Nome não encontrado
Carboidrato disponível,g,"0,36","0,71",BRC0072H,Nome não encontrado
Proteína,g,"0,13","0,26",BRC0072H,Nome não encontrado
Lipídios,g,"0,19","0,39",BRC0072H,Nome não encontrado
Fibra alimentar,g,"0,52","1,04",BRC0072H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0072H,Nome não encontrado
Cinzas,g,"0,00","0,01",BRC0072H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0072H,Nome não encontrado
Ácidos graxos saturados,g,"0,07","0,14",BRC0072H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,03",BRC0072H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,07","0,14",BRC0072H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0072H,Nome não encontrado
Cálcio,mg,"1,63","3,26",BRC0072H,Nome não encontrado
Ferro,mg,"0,09","0,17",BRC0072H,Nome não encontrado
Sódio,mg,"0,93","1,86",BRC0072H,Nome não encontrado
Magnésio,mg,"3,01","6,02",BRC0072H,Nome não encontrado
Fósforo,mg,"2,01","4,01",BRC0072H,Nome não encontrado
Potássio,mg,"25,3","50,7",BRC0072H,Nome não encontrado
Manganês,mg,"0,03","0,05",BRC0072H,Nome não encontrado
Zinco,mg,"0,01","0,02",BRC0072H,Nome não encontrado
Cobre,mg,"0,01","0,02",BRC0072H,Nome não encontrado
Selênio,mcg,,,BRC0072H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0072H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0072H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0072H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0072H,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0072H,Nome não encontrado
Riboflavina,mg,"0,00","0,01",BRC0072H,Nome não encontrado
Niacina,mg,"0,13","0,25",BRC0072H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0072H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0072H,Nome não encontrado
Vitamina C,mg,traços,,BRC0072H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0072H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0072H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0072H,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0072H,Nome não encontrado
Proteína vegetal,g,"0,13","0,26",BRC0072H,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0072H,Nome não encontrado
