componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),Prato fundo (200 g),codigo_alimento,nome_alimento
Energia,kJ,668,334,734,601,1336,BRC0906A,Nome não encontrado
Energia,kcal,159,79,175,143,318,BRC0906A,Nome não encontrado
Umidade,g,"66,0","33,0","72,6","59,4",131,BRC0906A,Nome não encontrado
Carboidrato total,g,"19,1","9,53","21,0","17,2","38,1",BRC0906A,Nome não encontrado
Carboidrato disponível,g,"16,6","8,30","18,3","14,9","33,2",BRC0906A,Nome não encontrado
Proteína,g,"7,66","3,83","8,42","6,89","15,3",BRC0906A,Nome não encontrado
Lipídios,g,"6,38","3,19","7,01","5,74","12,8",BRC0906A,Nome não encontrado
Fibra alimentar,g,"2,46","1,23","2,70","2,21","4,92",BRC0906A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0906A,Nome não encontrado
Cinzas,g,"0,91","0,46","1,00","0,82","1,82",BRC0906A,Nome não encontrado
Colesterol,mg,"99,9","50,0",109,"89,9",199,BRC0906A,Nome não encontrado
Ácidos graxos saturados,g,"1,93","0,97","2,12","1,74","3,86",BRC0906A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,35","1,17","2,58","2,11","4,70",BRC0906A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,40","0,70","1,54","1,26","2,80",BRC0906A,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,01","0,03","0,03","0,06",BRC0906A,Nome não encontrado
Cálcio,mg,"17,2","8,62","19,0","15,5","34,5",BRC0906A,Nome não encontrado
Ferro,mg,"0,83","0,41","0,91","0,74","1,65",BRC0906A,Nome não encontrado
Sódio,mg,237,118,261,213,475,BRC0906A,Nome não encontrado
Magnésio,mg,"11,8","5,89","13,0","10,6","23,6",BRC0906A,Nome não encontrado
Fósforo,mg,"80,3","40,2","88,3","72,3",160,BRC0906A,Nome não encontrado
Potássio,mg,"77,8","38,9","85,5","70,0",155,BRC0906A,Nome não encontrado
Manganês,mg,"0,19","0,10","0,21","0,17","0,38",BRC0906A,Nome não encontrado
Zinco,mg,"0,67","0,34","0,74","0,60","1,34",BRC0906A,Nome não encontrado
Cobre,mg,"0,07","0,03","0,08","0,06","0,14",BRC0906A,Nome não encontrado
Selênio,mcg,"5,82","2,91","6,40","5,24","11,6",BRC0906A,Nome não encontrado
Vitamina A (RE),mcg,"44,6","22,3","49,1","40,1","89,2",BRC0906A,Nome não encontrado
Vitamina A (RAE),mcg,"44,5","22,3","49,0","40,1","89,0",BRC0906A,Nome não encontrado
Vitamina D,mcg,"0,50","0,25","0,55","0,45","1,01",BRC0906A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,48","0,24","0,52","0,43","0,95",BRC0906A,Nome não encontrado
Tiamina,mg,"0,08","0,04","0,09","0,07","0,16",BRC0906A,Nome não encontrado
Riboflavina,mg,"0,18","0,09","0,20","0,16","0,37",BRC0906A,Nome não encontrado
Niacina,mg,"1,79","0,90","1,97","1,61","3,59",BRC0906A,Nome não encontrado
Vitamina B6,mg,"0,06","0,03","0,06","0,05","0,11",BRC0906A,Nome não encontrado
Vitamina B12,mcg,"0,30","0,15","0,33","0,27","0,60",BRC0906A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00",BRC0906A,Nome não encontrado
Equivalente de folato,mcg,"20,5","10,3","22,6","18,5","41,0",BRC0906A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42","0,94",BRC0906A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0906A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0906A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0906A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0906A,Nome não encontrado
