componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,398,955,656,795,BRC0144T,Nome não encontrado
Energia,kcal,95,227,156,189,BRC0144T,Nome não encontrado
Umidade,g,"76,7",184,126,153,BRC0144T,Nome não encontrado
Carboidrato total,g,"15,3","36,6","25,2","30,5",BRC0144T,Nome não encontrado
Carboidrato disponível,g,"11,4","27,4","18,8","22,8",BRC0144T,Nome não encontrado
Proteína,g,"4,27","10,3","7,05","8,54",BRC0144T,Nome não encontrado
Lipídios,g,"2,72","6,53","4,49","5,44",BRC0144T,Nome não encontrado
Fibra alimentar,g,"3,85","9,25","6,36","7,71",BRC0144T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0144T,Nome não encontrado
Cinzas,g,"1,01","2,42","1,66","2,02",BRC0144T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0144T,Nome não encontrado
Ácidos graxos saturados,g,"0,98","2,34","1,61","1,95",BRC0144T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,71","1,70","1,17","1,42",BRC0144T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,55","1,32","0,90","1,10",BRC0144T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,02","0,01","0,02",BRC0144T,Nome não encontrado
Cálcio,mg,"29,4","70,6","48,6","58,9",BRC0144T,Nome não encontrado
Ferro,mg,"1,88","4,51","3,10","3,76",BRC0144T,Nome não encontrado
Sódio,mg,"50,3",120,"83,0",100,BRC0144T,Nome não encontrado
Magnésio,mg,"64,5",154,106,129,BRC0144T,Nome não encontrado
Fósforo,mg,118,284,195,237,BRC0144T,Nome não encontrado
Potássio,mg,264,635,436,529,BRC0144T,Nome não encontrado
Manganês,mg,"0,63","1,51","1,04","1,26",BRC0144T,Nome não encontrado
Zinco,mg,"0,92","2,22","1,52","1,85",BRC0144T,Nome não encontrado
Cobre,mg,"0,45","1,08","0,75","0,90",BRC0144T,Nome não encontrado
Selênio,mcg,"1,43","3,43","2,36","2,86",BRC0144T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0144T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0144T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0144T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,02","0,02","0,02",BRC0144T,Nome não encontrado
Tiamina,mg,"0,01","0,02","0,01","0,02",BRC0144T,Nome não encontrado
Riboflavina,mg,"0,03","0,06","0,04","0,05",BRC0144T,Nome não encontrado
Niacina,mg,"0,22","0,53","0,36","0,44",BRC0144T,Nome não encontrado
Vitamina B6,mg,"0,01","0,03","0,02","0,02",BRC0144T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0144T,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0144T,Nome não encontrado
Equivalente de folato,mcg,"73,3",175,120,146,BRC0144T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0144T,Nome não encontrado
Açúcar de adição,g,"6,00","14,4","9,90","12,0",BRC0144T,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0144T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0144T,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0144T,Nome não encontrado
