componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir rasa (28 g),Colher sopa cheia (20 g),Colher sopa rasa (15 g),Escumadeira cheia (110 g),Escumadeira rasa (60 g),codigo_alimento,nome_alimento
Energia,kJ,134,60,37,26,20,147,80,BRC0273B,Nome não encontrado
Energia,kcal,32,14,8,6,4,35,19,BRC0273B,Nome não encontrado
Umidade,g,"92,2","41,5","25,8","18,4","13,8",101,"55,3",BRC0273B,Nome não encontrado
Carboidrato total,g,"5,41","2,43","1,51","1,08","0,81","5,95","3,25",BRC0273B,Nome não encontrado
Carboidrato disponível,g,"3,79","1,71","1,06","0,76","0,57","4,17","2,27",BRC0273B,Nome não encontrado
Proteína,g,"0,75","0,34","0,21","0,15","0,11","0,83","0,45",BRC0273B,Nome não encontrado
Lipídios,g,"1,17","0,53","0,33","0,23","0,18","1,29","0,70",BRC0273B,Nome não encontrado
Fibra alimentar,g,"1,62","0,73","0,45","0,32","0,24","1,78","0,97",BRC0273B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0273B,Nome não encontrado
Cinzas,g,"0,96","0,43","0,27","0,19","0,14","1,06","0,58",BRC0273B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0273B,Nome não encontrado
Ácidos graxos saturados,g,"0,19","0,08","0,05","0,04","0,03","0,20","0,11",BRC0273B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,25","0,11","0,07","0,05","0,04","0,27","0,15",BRC0273B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,67","0,30","0,19","0,13","0,10","0,74","0,40",BRC0273B,Nome não encontrado
Ácidos graxos trans,g,,,,,,,,BRC0273B,Nome não encontrado
Cálcio,mg,"9,22","4,15","2,58","1,84","1,38","10,1","5,53",BRC0273B,Nome não encontrado
Ferro,mg,"0,15","0,07","0,04","0,03","0,02","0,17","0,09",BRC0273B,Nome não encontrado
Sódio,mg,269,121,"75,5","54,0","40,5",296,161,BRC0273B,Nome não encontrado
Magnésio,mg,"9,22","4,15","2,58","1,84","1,38","10,1","5,53",BRC0273B,Nome não encontrado
Fósforo,mg,"18,6","8,38","5,21","3,72","2,79","20,5","11,2",BRC0273B,Nome não encontrado
Potássio,mg,108,"48,8","30,4","21,7","16,3",119,"65,1",BRC0273B,Nome não encontrado
Manganês,mg,"0,08","0,03","0,02","0,02","0,01","0,08","0,05",BRC0273B,Nome não encontrado
Zinco,mg,"0,13","0,06","0,04","0,03","0,02","0,15","0,08",BRC0273B,Nome não encontrado
Cobre,mg,"0,03","0,01","0,01","0,01","0,00","0,03","0,02",BRC0273B,Nome não encontrado
Selênio,mcg,"0,29","0,13","0,08","0,06","0,04","0,31","0,17",BRC0273B,Nome não encontrado
Vitamina A (RE),mcg,"27,2","12,2","7,62","5,44","4,08","29,9","16,3",BRC0273B,Nome não encontrado
Vitamina A (RAE),mcg,"13,6","6,12","3,81","2,72","2,04","15,0","8,16",BRC0273B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0273B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,27","0,12","0,08","0,05","0,04","0,30","0,16",BRC0273B,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,01","0,01","0,01","0,06","0,03",BRC0273B,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00","0,00","0,00","0,01","0,00",BRC0273B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0273B,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,00","0,00","0,00","0,01","0,01",BRC0273B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0273B,Nome não encontrado
Vitamina C,mg,"8,89","4,00","2,49","1,78","1,33","9,77","5,33",BRC0273B,Nome não encontrado
Equivalente de folato,mcg,"16,2","7,30","4,54","3,25","2,43","17,9","9,74",BRC0273B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0273B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0273B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,BRC0273B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,BRC0273B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,BRC0273B,Nome não encontrado
