componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (350 mL),codigo_alimento,nome_alimento
Energia,kJ,143,344,236,502,BRC0012H,Nome não encontrado
Energia,kcal,34,81,55,118,BRC0012H,Nome não encontrado
Umidade,g,"91,5",219,150,320,BRC0012H,Nome não encontrado
Carboidrato total,g,"8,44","20,3","13,9","29,5",BRC0012H,Nome não encontrado
Carboidrato disponível,g,"8,44","20,3","13,9","29,5",BRC0012H,Nome não encontrado
Proteína,g,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Álcool,g,,,,,BRC0012H,Nome não encontrado
Cinzas,g,"0,06","0,14","0,10","0,21",BRC0012H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Cálcio,mg,"3,08","7,38","5,08","10,8",BRC0012H,Nome não encontrado
Ferro,mg,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Sódio,mg,"2,31","5,54","3,81","8,08",BRC0012H,Nome não encontrado
Magnésio,mg,"0,77","1,85","1,27","2,69",BRC0012H,Nome não encontrado
Fósforo,mg,"0,77","1,85","1,27","2,69",BRC0012H,Nome não encontrado
Potássio,mg,"10,8","25,8","17,8","37,7",BRC0012H,Nome não encontrado
Manganês,mg,,,,,BRC0012H,Nome não encontrado
Zinco,mg,"0,01","0,02","0,01","0,03",BRC0012H,Nome não encontrado
Cobre,mg,,,,,BRC0012H,Nome não encontrado
Selênio,mcg,,,,,BRC0012H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Sal de adição,g,,,,,BRC0012H,Nome não encontrado
Açúcar de adição,g,,,,,BRC0012H,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0012H,Nome não encontrado
