componente,unidade,Valor por 100g,Porção Média (30 g),codigo_alimento,nome_alimento
Energia,kJ,2461,738,BRC0011U,Nome não encontrado
Energia,kcal,595,178,BRC0011U,Nome não encontrado
Umidade,g,"4,41","1,32",BRC0011U,Nome não encontrado
Carboidrato total,g,"21,5","6,46",BRC0011U,Nome não encontrado
Carboidrato disponível,g,"9,04","2,71",BRC0011U,Nome não encontrado
Proteína,g,"21,2","6,35",BRC0011U,Nome não encontrado
Lipídios,g,"49,9","15,0",BRC0011U,Nome não encontrado
Fibra alimentar,g,"12,5","3,75",BRC0011U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0011U,Nome não encontrado
Cinzas,g,"2,97","0,89",BRC0011U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0011U,Nome não encontrado
Ácidos graxos saturados,g,"3,80","1,14",BRC0011U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"31,6","9,47",BRC0011U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"12,3","3,70",BRC0011U,Nome não encontrado
Ácidos graxos trans,g,,,BRC0011U,Nome não encontrado
Cálcio,mg,269,"80,7",BRC0011U,Nome não encontrado
Ferro,mg,"3,71","1,11",BRC0011U,Nome não encontrado
Sódio,mg,"1,00","0,30",BRC0011U,Nome não encontrado
Magnésio,mg,270,"81,0",BRC0011U,Nome não encontrado
Fósforo,mg,481,144,BRC0011U,Nome não encontrado
Potássio,mg,733,219,BRC0011U,Nome não encontrado
Manganês,mg,"2,18","0,65",BRC0011U,Nome não encontrado
Zinco,mg,"3,12","0,94",BRC0011U,Nome não encontrado
Cobre,mg,"1,03","0,31",BRC0011U,Nome não encontrado
Selênio,mcg,"4,10","1,23",BRC0011U,Nome não encontrado
Vitamina A (RE),mcg,-,-,BRC0011U,Nome não encontrado
Vitamina A (RAE),mcg,-,-,BRC0011U,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0011U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"25,6","7,69",BRC0011U,Nome não encontrado
Tiamina,mg,"0,21","0,06",BRC0011U,Nome não encontrado
Riboflavina,mg,"1,14","0,34",BRC0011U,Nome não encontrado
Niacina,mg,"3,62","1,09",BRC0011U,Nome não encontrado
Vitamina B6,mg,"0,14","0,04",BRC0011U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0011U,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0011U,Nome não encontrado
Equivalente de folato,mcg,"44,0","13,2",BRC0011U,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0011U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0011U,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0011U,Nome não encontrado
Proteína vegetal,g,"21,2","6,35",BRC0011U,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0011U,Nome não encontrado
