componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,498,BRC0534E,Nome não encontrado
Energia,kcal,118,BRC0534E,Nome não encontrado
Umidade,g,"72,2",BRC0534E,Nome não encontrado
Carboidrato total,g,"0,68",BRC0534E,Nome não encontrado
Carboidrato disponível,g,"0,56",BRC0534E,Nome não encontrado
Proteína,g,"21,9",BRC0534E,Nome não encontrado
Lipídios,g,"3,10",BRC0534E,Nome não encontrado
Fibra alimentar,g,"0,12",BRC0534E,Nome não encontrado
Álcool,g,"0,00",BRC0534E,Nome não encontrado
Cinzas,g,"2,15",BRC0534E,Nome não encontrado
Colesterol,mg,"76,8",BRC0534E,Nome não encontrado
Ácidos graxos saturados,g,"1,15",BRC0534E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,91",BRC0534E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,31",BRC0534E,Nome não encontrado
Ácidos graxos trans,g,"0,02",BRC0534E,Nome não encontrado
Cálcio,mg,"25,6",BRC0534E,Nome não encontrado
Ferro,mg,"0,37",BRC0534E,Nome não encontrado
Sódio,mg,376,BRC0534E,Nome não encontrado
Magnésio,mg,"33,6",BRC0534E,Nome não encontrado
Fósforo,mg,218,BRC0534E,Nome não encontrado
Potássio,mg,383,BRC0534E,Nome não encontrado
Manganês,mg,"0,02",BRC0534E,Nome não encontrado
Zinco,mg,"0,58",BRC0534E,Nome não encontrado
Cobre,mg,"0,13",BRC0534E,Nome não encontrado
Selênio,mcg,"28,2",BRC0534E,Nome não encontrado
Vitamina A (RE),mcg,traços,BRC0534E,Nome não encontrado
Vitamina A (RAE),mcg,traços,BRC0534E,Nome não encontrado
Vitamina D,mcg,"1,29",BRC0534E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,68",BRC0534E,Nome não encontrado
Tiamina,mg,traços,BRC0534E,Nome não encontrado
Riboflavina,mg,"0,06",BRC0534E,Nome não encontrado
Niacina,mg,"1,10",BRC0534E,Nome não encontrado
Vitamina B6,mg,"0,01",BRC0534E,Nome não encontrado
Vitamina B12,mcg,"4,12",BRC0534E,Nome não encontrado
Vitamina C,mg,"1,20",BRC0534E,Nome não encontrado
Equivalente de folato,mcg,"11,8",BRC0534E,Nome não encontrado
Sal de adição,g,"0,00",BRC0534E,Nome não encontrado
Açúcar de adição,g,"0,45",BRC0534E,Nome não encontrado
Gordura de adição,g,-,BRC0534E,Nome não encontrado
Proteína vegetal,g,-,BRC0534E,Nome não encontrado
Proteína animal,g,-,BRC0534E,Nome não encontrado
