componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),Prato fundo (200 g),codigo_alimento,nome_alimento
Energia,kJ,955,477,1050,859,1910,BRC0911A,Nome não encontrado
Energia,kcal,229,114,252,206,458,BRC0911A,Nome não encontrado
Umidade,g,"57,4","28,7","63,1","51,6",114,BRC0911A,Nome não encontrado
Carboidrato total,g,"21,1","10,6","23,3","19,0","42,3",BRC0911A,Nome não encontrado
Carboidrato disponível,g,"17,9","8,96","19,7","16,1","35,9",BRC0911A,Nome não encontrado
Proteína,g,"6,31","3,15","6,94","5,68","12,6",BRC0911A,Nome não encontrado
Lipídios,g,"14,0","7,00","15,4","12,6","28,0",BRC0911A,Nome não encontrado
Fibra alimentar,g,"3,21","1,61","3,53","2,89","6,43",BRC0911A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0911A,Nome não encontrado
Cinzas,g,"1,18","0,59","1,30","1,07","2,37",BRC0911A,Nome não encontrado
Colesterol,mg,"6,98","3,49","7,67","6,28","14,0",BRC0911A,Nome não encontrado
Ácidos graxos saturados,g,"3,02","1,51","3,32","2,71","6,03",BRC0911A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"8,05","4,02","8,85","7,24","16,1",BRC0911A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,49","1,25","2,74","2,24","4,99",BRC0911A,Nome não encontrado
Ácidos graxos trans,g,"0,08","0,04","0,08","0,07","0,15",BRC0911A,Nome não encontrado
Cálcio,mg,"83,2","41,6","91,5","74,9",166,BRC0911A,Nome não encontrado
Ferro,mg,"0,58","0,29","0,64","0,52","1,16",BRC0911A,Nome não encontrado
Sódio,mg,294,147,324,265,589,BRC0911A,Nome não encontrado
Magnésio,mg,"18,8","9,40","20,7","16,9","37,6",BRC0911A,Nome não encontrado
Fósforo,mg,100,"50,1",110,"90,2",200,BRC0911A,Nome não encontrado
Potássio,mg,"75,7","37,8","83,2","68,1",151,BRC0911A,Nome não encontrado
Manganês,mg,"0,36","0,18","0,39","0,32","0,71",BRC0911A,Nome não encontrado
Zinco,mg,"0,67","0,34","0,74","0,61","1,35",BRC0911A,Nome não encontrado
Cobre,mg,"0,10","0,05","0,11","0,09","0,19",BRC0911A,Nome não encontrado
Selênio,mcg,"3,79","1,89","4,16","3,41","7,57",BRC0911A,Nome não encontrado
Vitamina A (RE),mcg,"46,5","23,3","51,2","41,9","93,1",BRC0911A,Nome não encontrado
Vitamina A (RAE),mcg,"25,5","12,7","28,0","22,9","50,9",BRC0911A,Nome não encontrado
Vitamina D,mcg,"0,04","0,02","0,05","0,04","0,09",BRC0911A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,86","0,93","2,05","1,67","3,72",BRC0911A,Nome não encontrado
Tiamina,mg,"0,09","0,04","0,10","0,08","0,17",BRC0911A,Nome não encontrado
Riboflavina,mg,"0,08","0,04","0,08","0,07","0,15",BRC0911A,Nome não encontrado
Niacina,mg,"1,55","0,78","1,71","1,40","3,11",BRC0911A,Nome não encontrado
Vitamina B6,mg,"0,09","0,04","0,10","0,08","0,17",BRC0911A,Nome não encontrado
Vitamina B12,mcg,"0,08","0,04","0,09","0,07","0,16",BRC0911A,Nome não encontrado
Vitamina C,mg,"0,48","0,24","0,53","0,43","0,97",BRC0911A,Nome não encontrado
Equivalente de folato,mcg,"16,8","8,40","18,5","15,1","33,6",BRC0911A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42","0,94",BRC0911A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0911A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0911A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0911A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0911A,Nome não encontrado
