componente,unidade,Valor por 100g,Colher servir cheia (68 g),Colher servir rasa (48 g),Colher sopa cheia (38 g),Escumadeira cheia (88 g),Escumadeira rasa (58 g),codigo_alimento,nome_alimento
Energia,kJ,279,189,133,106,245,161,BRC0313B,Nome não encontrado
Energia,kcal,67,45,31,25,58,38,BRC0313B,Nome não encontrado
Umidade,g,"85,0","57,8","40,8","32,3","74,8","49,3",BRC0313B,Nome não encontrado
Carboidrato total,g,"10,4","7,04","4,97","3,94","9,11","6,01",BRC0313B,Nome não encontrado
Carboidrato disponível,g,"9,03","6,14","4,34","3,43","7,95","5,24",BRC0313B,Nome não encontrado
Proteína,g,"1,19","0,81","0,57","0,45","1,04","0,69",BRC0313B,Nome não encontrado
Lipídios,g,"2,56","1,74","1,23","0,97","2,26","1,49",BRC0313B,Nome não encontrado
Fibra alimentar,g,"1,32","0,90","0,64","0,50","1,17","0,77",BRC0313B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0313B,Nome não encontrado
Cinzas,g,"0,92","0,62","0,44","0,35","0,81","0,53",BRC0313B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0313B,Nome não encontrado
Ácidos graxos saturados,g,"0,39","0,26","0,19","0,15","0,34","0,22",BRC0313B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,89","1,28","0,91","0,72","1,66","1,10",BRC0313B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,26","0,18","0,13","0,10","0,23","0,15",BRC0313B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0313B,Nome não encontrado
Cálcio,mg,"9,53","6,48","4,57","3,62","8,39","5,53",BRC0313B,Nome não encontrado
Ferro,mg,"0,30","0,20","0,14","0,11","0,26","0,17",BRC0313B,Nome não encontrado
Sódio,mg,190,129,"91,4","72,3",167,110,BRC0313B,Nome não encontrado
Magnésio,mg,"6,42","4,37","3,08","2,44","5,65","3,73",BRC0313B,Nome não encontrado
Fósforo,mg,"23,8","16,2","11,4","9,03","20,9","13,8",BRC0313B,Nome não encontrado
Potássio,mg,214,145,102,"81,5",188,124,BRC0313B,Nome não encontrado
Manganês,mg,"0,14","0,09","0,07","0,05","0,12","0,08",BRC0313B,Nome não encontrado
Zinco,mg,"0,30","0,21","0,14","0,11","0,27","0,18",BRC0313B,Nome não encontrado
Cobre,mg,"0,06","0,04","0,03","0,02","0,05","0,03",BRC0313B,Nome não encontrado
Selênio,mcg,"0,18","0,12","0,09","0,07","0,16","0,10",BRC0313B,Nome não encontrado
Vitamina A (RE),mcg,"30,4","20,7","14,6","11,6","26,8","17,6",BRC0313B,Nome não encontrado
Vitamina A (RAE),mcg,"15,2","10,3","7,30","5,78","13,4","8,82",BRC0313B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0313B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,51","0,34","0,24","0,19","0,45","0,29",BRC0313B,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,02","0,02","0,04","0,03",BRC0313B,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00","0,00","0,00","0,00",BRC0313B,Nome não encontrado
Niacina,mg,"0,02","0,01","0,01","0,01","0,02","0,01",BRC0313B,Nome não encontrado
Vitamina B6,mg,"0,09","0,06","0,04","0,03","0,08","0,05",BRC0313B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0313B,Nome não encontrado
Vitamina C,mg,"5,55","3,77","2,66","2,11","4,88","3,22",BRC0313B,Nome não encontrado
Equivalente de folato,mcg,"9,93","6,75","4,76","3,77","8,74","5,76",BRC0313B,Nome não encontrado
Sal de adição,g,"0,32","0,22","0,15","0,12","0,28","0,19",BRC0313B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0313B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,BRC0313B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,BRC0313B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,BRC0313B,Nome não encontrado
