componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,177,425,292,BRC0251C,Nome não encontrado
Energia,kcal,42,100,68,BRC0251C,Nome não encontrado
Umidade,g,"79,5",190,131,BRC0251C,Nome não encontrado
Carboidrato total,g,"10,2","24,6","16,9",BRC0251C,Nome não encontrado
Carboidrato disponível,g,"10,2","24,5","16,9",BRC0251C,Nome não encontrado
Proteína,g,"0,07","0,18","0,12",BRC0251C,Nome não encontrado
Lipídios,g,"0,06","0,14","0,10",BRC0251C,Nome não encontrado
Fibra alimentar,g,"0,03","0,08","0,05",BRC0251C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0251C,Nome não encontrado
Cinzas,g,"0,08","0,19","0,13",BRC0251C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0251C,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,01","0,01",BRC0251C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,02","0,01",BRC0251C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,03","0,06","0,04",BRC0251C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0251C,Nome não encontrado
Cálcio,mg,"0,50","1,21","0,83",BRC0251C,Nome não encontrado
Ferro,mg,"0,03","0,06","0,04",BRC0251C,Nome não encontrado
Sódio,mg,"1,25","2,99","2,05",BRC0251C,Nome não encontrado
Magnésio,mg,"0,73","1,76","1,21",BRC0251C,Nome não encontrado
Fósforo,mg,"1,44","3,46","2,38",BRC0251C,Nome não encontrado
Potássio,mg,"10,2","24,5","16,8",BRC0251C,Nome não encontrado
Manganês,mg,"0,00","0,01","0,00",BRC0251C,Nome não encontrado
Zinco,mg,traços,traços,traços,BRC0251C,Nome não encontrado
Cobre,mg,"0,01","0,01","0,01",BRC0251C,Nome não encontrado
Selênio,mcg,"0,08","0,20","0,14",BRC0251C,Nome não encontrado
Vitamina A (RE),mcg,"3,00","7,20","4,95",BRC0251C,Nome não encontrado
Vitamina A (RAE),mcg,"1,50","3,60","2,48",BRC0251C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0251C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,01","0,00",BRC0251C,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00",BRC0251C,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0251C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0251C,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00",BRC0251C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0251C,Nome não encontrado
Vitamina C,mg,"0,56","1,35","0,93",BRC0251C,Nome não encontrado
Equivalente de folato,mcg,"0,27","0,65","0,45",BRC0251C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0251C,Nome não encontrado
Açúcar de adição,g,,,,BRC0251C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0251C,Nome não encontrado
Proteína vegetal,g,"0,07","0,18","0,12",BRC0251C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0251C,Nome não encontrado
