componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (25 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,526,262,131,578,473,BRC0965A,Nome não encontrado
Energia,kcal,125,62,31,137,112,BRC0965A,Nome não encontrado
Umidade,g,"71,6","35,8","17,9","78,8","64,5",BRC0965A,Nome não encontrado
Carboidrato total,g,"20,8","10,4","5,19","22,8","18,7",BRC0965A,Nome não encontrado
Carboidrato disponível,g,"19,6","9,78","4,89","21,5","17,6",BRC0965A,Nome não encontrado
Proteína,g,"3,04","1,52","0,76","3,35","2,74",BRC0965A,Nome não encontrado
Lipídios,g,"3,57","1,78","0,89","3,92","3,21",BRC0965A,Nome não encontrado
Fibra alimentar,g,"1,20","0,60","0,30","1,32","1,08",BRC0965A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0965A,Nome não encontrado
Cinzas,g,"1,01","0,50","0,25","1,11","0,91",BRC0965A,Nome não encontrado
Colesterol,mg,"8,04","4,02","2,01","8,85","7,24",BRC0965A,Nome não encontrado
Ácidos graxos saturados,g,"1,32","0,66","0,33","1,45","1,19",BRC0965A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,77","0,39","0,19","0,85","0,69",BRC0965A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,82","0,41","0,21","0,90","0,74",BRC0965A,Nome não encontrado
Ácidos graxos trans,g,"0,08","0,04","0,02","0,08","0,07",BRC0965A,Nome não encontrado
Cálcio,mg,"15,6","7,79","3,90","17,1","14,0",BRC0965A,Nome não encontrado
Ferro,mg,"0,32","0,16","0,08","0,35","0,29",BRC0965A,Nome não encontrado
Sódio,mg,274,137,"68,7",302,247,BRC0965A,Nome não encontrado
Magnésio,mg,"4,22","2,11","1,05","4,64","3,80",BRC0965A,Nome não encontrado
Fósforo,mg,"43,9","22,0","11,0","48,3","39,5",BRC0965A,Nome não encontrado
Potássio,mg,"97,0","48,5","24,3",106,"87,3",BRC0965A,Nome não encontrado
Manganês,mg,"0,16","0,08","0,04","0,18","0,14",BRC0965A,Nome não encontrado
Zinco,mg,"0,32","0,16","0,08","0,35","0,29",BRC0965A,Nome não encontrado
Cobre,mg,"0,06","0,03","0,02","0,07","0,06",BRC0965A,Nome não encontrado
Selênio,mcg,"1,52","0,76","0,38","1,67","1,37",BRC0965A,Nome não encontrado
Vitamina A (RE),mcg,"42,7","21,4","10,7","47,0","38,4",BRC0965A,Nome não encontrado
Vitamina A (RAE),mcg,"27,4","13,7","6,84","30,1","24,6",BRC0965A,Nome não encontrado
Vitamina D,mcg,"0,09","0,05","0,02","0,10","0,08",BRC0965A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,32","0,16","0,08","0,35","0,29",BRC0965A,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,01","0,06","0,05",BRC0965A,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,01","0,03","0,02",BRC0965A,Nome não encontrado
Niacina,mg,"0,88","0,44","0,22","0,97","0,79",BRC0965A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,00","0,02","0,02",BRC0965A,Nome não encontrado
Vitamina B12,mcg,"0,01","0,01","0,00","0,01","0,01",BRC0965A,Nome não encontrado
Vitamina C,mg,"4,25","2,12","1,06","4,67","3,82",BRC0965A,Nome não encontrado
Equivalente de folato,mcg,"50,7","25,3","12,7","55,8","45,6",BRC0965A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,12","0,52","0,42",BRC0965A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0965A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0965A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0965A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0965A,Nome não encontrado
