componente,unidade,Valor por 100g,Concha cheia (200 g),Concha rasa (130 g),codigo_alimento,nome_alimento
Energia,kJ,292,584,379,BRC0882F,Nome não encontrado
Energia,kcal,70,139,90,BRC0882F,Nome não encontrado
Umidade,g,"84,5",169,109,BRC0882F,Nome não encontrado
Carboidrato total,g,"4,79","9,58","6,23",BRC0882F,Nome não encontrado
Carboidrato disponível,g,"3,72","7,44","4,84",BRC0882F,Nome não encontrado
Proteína,g,"7,20","14,4","9,36",BRC0882F,Nome não encontrado
Lipídios,g,"2,64","5,29","3,44",BRC0882F,Nome não encontrado
Fibra alimentar,g,"1,07","2,14","1,39",BRC0882F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0882F,Nome não encontrado
Cinzas,g,"0,85","1,69","1,10",BRC0882F,Nome não encontrado
Colesterol,mg,"73,6",147,"95,7",BRC0882F,Nome não encontrado
Ácidos graxos saturados,g,"0,91","1,83","1,19",BRC0882F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,70","1,40","0,91",BRC0882F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,79","1,57","1,02",BRC0882F,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,10","0,06",BRC0882F,Nome não encontrado
Cálcio,mg,"13,3","26,5","17,2",BRC0882F,Nome não encontrado
Ferro,mg,"0,38","0,77","0,50",BRC0882F,Nome não encontrado
Sódio,mg,207,415,269,BRC0882F,Nome não encontrado
Magnésio,mg,"7,55","15,1","9,82",BRC0882F,Nome não encontrado
Fósforo,mg,"34,9","69,7","45,3",BRC0882F,Nome não encontrado
Potássio,mg,160,320,208,BRC0882F,Nome não encontrado
Manganês,mg,"0,07","0,14","0,09",BRC0882F,Nome não encontrado
Zinco,mg,"0,87","1,74","1,13",BRC0882F,Nome não encontrado
Cobre,mg,"0,05","0,10","0,06",BRC0882F,Nome não encontrado
Selênio,mcg,"12,2","24,5","15,9",BRC0882F,Nome não encontrado
Vitamina A (RE),mcg,142,285,185,BRC0882F,Nome não encontrado
Vitamina A (RAE),mcg,"72,9",145,"94,7",BRC0882F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0882F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,53","1,05","0,68",BRC0882F,Nome não encontrado
Tiamina,mg,"0,03","0,06","0,04",BRC0882F,Nome não encontrado
Riboflavina,mg,traços,,traços,BRC0882F,Nome não encontrado
Niacina,mg,"1,05","2,10","1,37",BRC0882F,Nome não encontrado
Vitamina B6,mg,"0,05","0,10","0,06",BRC0882F,Nome não encontrado
Vitamina B12,mcg,"0,14","0,29","0,19",BRC0882F,Nome não encontrado
Vitamina C,mg,"10,6","21,2","13,8",BRC0882F,Nome não encontrado
Equivalente de folato,mcg,"7,49","15,0","9,73",BRC0882F,Nome não encontrado
Sal de adição,g,"0,45","0,90","0,59",BRC0882F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0882F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0882F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0882F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0882F,Nome não encontrado
