componente,unidade,Valor por 100g,Concha rasa (70 g),codigo_alimento,nome_alimento
Energia,kJ,725,507,BRC0063T,Nome não encontrado
Energia,kcal,173,121,BRC0063T,Nome não encontrado
Umidade,g,"61,7","43,2",BRC0063T,Nome não encontrado
Carboidrato total,g,"19,6","13,7",BRC0063T,Nome não encontrado
Carboidrato disponível,g,"16,0","11,2",BRC0063T,Nome não encontrado
Proteína,g,"10,2","7,12",BRC0063T,Nome não encontrado
Lipídios,g,"6,79","4,75",BRC0063T,Nome não encontrado
Fibra alimentar,g,"3,57","2,50",BRC0063T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0063T,Nome não encontrado
Cinzas,g,"1,79","1,25",BRC0063T,Nome não encontrado
Colesterol,mg,"67,9","47,5",BRC0063T,Nome não encontrado
Ácidos graxos saturados,g,"2,16","1,51",BRC0063T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,87","2,01",BRC0063T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,53","1,07",BRC0063T,Nome não encontrado
Ácidos graxos trans,g,,,BRC0063T,Nome não encontrado
Cálcio,mg,"41,2","28,8",BRC0063T,Nome não encontrado
Ferro,mg,"2,16","1,51",BRC0063T,Nome não encontrado
Sódio,mg,365,255,BRC0063T,Nome não encontrado
Magnésio,mg,"36,1","25,3",BRC0063T,Nome não encontrado
Fósforo,mg,199,139,BRC0063T,Nome não encontrado
Potássio,mg,348,244,BRC0063T,Nome não encontrado
Manganês,mg,"0,38","0,27",BRC0063T,Nome não encontrado
Zinco,mg,"1,45","1,01",BRC0063T,Nome não encontrado
Cobre,mg,"0,22","0,15",BRC0063T,Nome não encontrado
Selênio,mcg,,,BRC0063T,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0063T,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0063T,Nome não encontrado
Vitamina D,mcg,,,BRC0063T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0063T,Nome não encontrado
Tiamina,mg,traços,traços,BRC0063T,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0063T,Nome não encontrado
Niacina,mg,"1,44","1,01",BRC0063T,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0063T,Nome não encontrado
Vitamina B12,mcg,,,BRC0063T,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0063T,Nome não encontrado
Equivalente de folato,mcg,,,BRC0063T,Nome não encontrado
Sal de adição,g,,,BRC0063T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0063T,Nome não encontrado
Gordura de adição,g,-,-,BRC0063T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0063T,Nome não encontrado
Proteína animal,g,-,-,BRC0063T,Nome não encontrado
