componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,2175,543,BRC0064L,Nome não encontrado
Energia,kcal,528,132,BRC0064L,Nome não encontrado
Umidade,g,"37,6","9,40",BRC0064L,Nome não encontrado
Carboidrato total,g,"4,74","1,19",BRC0064L,Nome não encontrado
Carboidrato disponível,g,"3,96","0,99",BRC0064L,Nome não encontrado
Proteína,g,"0,60","0,15",BRC0064L,Nome não encontrado
Lipídios,g,"56,5","14,1",BRC0064L,Nome não encontrado
Fibra alimentar,g,"0,78","0,19",BRC0064L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0064L,Nome não encontrado
Cinzas,g,"0,54","0,13",BRC0064L,Nome não encontrado
Colesterol,mg,"0,01","0,00",BRC0064L,Nome não encontrado
Ácidos graxos saturados,g,"8,46","2,11",BRC0064L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"42,6","10,6",BRC0064L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,37","1,34",BRC0064L,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,01",BRC0064L,Nome não encontrado
Cálcio,mg,"19,4","4,86",BRC0064L,Nome não encontrado
Ferro,mg,"0,45","0,11",BRC0064L,Nome não encontrado
Sódio,mg,128,"32,1",BRC0064L,Nome não encontrado
Magnésio,mg,"5,10","1,28",BRC0064L,Nome não encontrado
Fósforo,mg,"13,3","3,33",BRC0064L,Nome não encontrado
Potássio,mg,"67,8","16,9",BRC0064L,Nome não encontrado
Manganês,mg,"0,09","0,02",BRC0064L,Nome não encontrado
Zinco,mg,"0,10","0,02",BRC0064L,Nome não encontrado
Cobre,mg,"0,03","0,01",BRC0064L,Nome não encontrado
Selênio,mcg,"0,30","0,08",BRC0064L,Nome não encontrado
Vitamina A (RE),mcg,"4,13","1,03",BRC0064L,Nome não encontrado
Vitamina A (RAE),mcg,"2,14","0,54",BRC0064L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0064L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"10,4","2,60",BRC0064L,Nome não encontrado
Tiamina,mg,"0,09","0,02",BRC0064L,Nome não encontrado
Riboflavina,mg,"0,01","0,00",BRC0064L,Nome não encontrado
Niacina,mg,"0,03","0,01",BRC0064L,Nome não encontrado
Vitamina B6,mg,"0,03","0,01",BRC0064L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0064L,Nome não encontrado
Vitamina C,mg,"11,7","2,91",BRC0064L,Nome não encontrado
Equivalente de folato,mcg,"6,15","1,54",BRC0064L,Nome não encontrado
Sal de adição,g,,,BRC0064L,Nome não encontrado
Açúcar de adição,g,,,BRC0064L,Nome não encontrado
Gordura de adição,g,-,-,BRC0064L,Nome não encontrado
Proteína vegetal,g,-,-,BRC0064L,Nome não encontrado
Proteína animal,g,-,-,BRC0064L,Nome não encontrado
